10000,[1.17204173 0.74789315],[1.23022894 0.7886885 ],[1.28790373 0.85312093],[1.3371063  0.90838393],[1.38615946 0.95977203],[1.43532028 1.01015451],[1.4845657  1.06021271],[1.53385348 1.11019064],[1.58317981 1.16017577],[1.63261996 1.21024639],[1.65600463 1.24743275]
20000,[1.17204173 0.74789315],[1.22521331 0.78042249],[1.28219377 0.83372525],[1.33399696 0.88615862],[1.38423272 0.93748085],[1.43336896 0.98798106],[1.44108348 1.00929275],[1.43963886 1.02340649],[1.43485931 1.03409208],[1.42876458 1.04270161],[1.42231099 1.0499549 ]
30000,[1.17204173 0.74789315],[1.22858532 0.78133754],[1.2839344  0.83464626],[1.33489603 0.88716979],[1.38470515 0.93859272],[1.43359776 0.98899423],[1.43971452 1.0120705 ],[1.43670294 1.02822654],[1.43052661 1.04095509],[1.42311096 1.05148472],[1.4154068  1.06050203]
40000,[1.17204173 0.74789315],[1.22973699 0.78272754],[1.28531735 0.8368694 ],[1.33566609 0.88956101],[1.38507839 0.94089327],[1.43360919 0.99121471],[1.43766998 1.01571939],[1.43249146 1.03384043],[1.42445408 1.0486659 ],[1.41540516 1.06132183],[1.40623564 1.0724203 ]
50000,[1.17204173 0.74789315],[1.22848877 0.7812886 ],[1.28386894 0.83461169],[1.33486243 0.88706987],[1.38458918 0.93871054],[1.4326502  0.98912497],[1.43589197 1.01214302],[1.43063866 1.02945998],[1.42255289 1.0437633 ],[1.41344336 1.05614018],[1.40419735 1.06716668]
60000,[1.17204173 0.74789315],[1.21496505 0.78023096],[1.27306278 0.82792039],[1.32637306 0.8783007 ],[1.37744574 0.9286126 ],[1.40441126 0.95808889],[1.41148143 0.96941423],[1.41301632 0.97536334],[1.41193638 0.9785583 ],[1.40960584 0.98028213],[1.40670875 0.98119843]
70000,[1.17204173 0.74789315],[1.22167843 0.7805933 ],[1.28237669 0.83418361],[1.3345518  0.88646471],[1.38498752 0.93811415],[1.43253938 0.98795128],[1.43767344 1.00765551],[1.43497756 1.02171053],[1.42895301 1.03267738],[1.4216356  1.04185439],[1.41401195 1.04989429]
80000,[1.17204173 0.74789315],[1.22715127 0.78287585],[1.28232751 0.83657555],[1.33267627 0.88937891],[1.38199248 0.94126121],[1.42336436 0.98873754],[1.42170186 1.01385176],[1.41416035 1.0344746 ],[1.40436975 1.05225475],[1.39391504 1.06802941],[1.38359392 1.08225312]
90000,[1.17204173 0.74789315],[1.22807745 0.77870865],[1.28484844 0.83487366],[1.33695368 0.88922841],[1.38621776 0.94259561],[1.43446845 0.99524926],[1.44717524 1.02749719],[1.43829414 1.04727284],[1.42646515 1.06417055],[1.41400051 1.07930322],[1.40175614 1.0931294 ]
100000,[1.17204173 0.74789315],[1.20647989 0.78217753],[1.26632514 0.83641546],[1.32508247 0.88748281],[1.3839855  0.93707883],[1.43547798 0.98623052],[1.48654837 1.0350531 ],[1.51937525 1.06886004],[1.53076361 1.08407938],[1.53845516 1.09629049],[1.54428327 1.10703469]
110000,[1.17204173 0.74789315],[1.22060646 0.77931122],[1.28244845 0.83774139],[1.33752791 0.89057103],[1.38797685 0.94271032],[1.43633088 0.99500925],[1.47936858 1.04432243],[1.46724909 1.05670553],[1.45262433 1.06757154],[1.43873564 1.07815259],[1.42566994 1.08849373]
120000,[1.17204173 0.74789315],[1.20387438 0.78094371],[1.2641064  0.83524289],[1.33383662 0.88367527],[1.40888443 0.93027263],[1.4792695  0.97966563],[1.53432121 1.03024631],[1.584708   1.07962516],[1.58213772 1.08713591],[1.5705204  1.09143803],[1.55613837 1.09473946]
130000,[1.17204173 0.74789315],[1.20773312 0.78042555],[1.26602691 0.82783391],[1.31885416 0.8775891 ],[1.36479792 0.9235218 ],[1.37479363 0.93816998],[1.37853102 0.94659458],[1.37969044 0.9518075 ],[1.3789927  0.95456941],[1.37736515 0.95579286],[1.37535612 0.95606407]
