10000,[1.17204173 0.74789315],[1.22120503 0.78636523],[1.27760688 0.84960311],[1.32711254 0.90521247],[1.37577203 0.95726093],[1.42436135 1.008168  ],[1.47308153 1.05869425],[1.52197252 1.10909189],[1.57102951 1.1594457 ],[1.62023649 1.20978685],[1.65573772 1.25381186]
20000,[1.17204173 0.74789315],[1.21956663 0.77862941],[1.28005669 0.83230598],[1.3323844  0.88552621],[1.38201256 0.93670068],[1.43111191 0.98714216],[1.4801792  1.03731824],[1.52929426 1.08738605],[1.55140763 1.11121117],[1.56172344 1.124326  ],[1.57201277 1.13830933]
30000,[1.17204173 0.74789315],[1.22358311 0.77863371],[1.28554401 0.83572254],[1.33969439 0.88905633],[1.39109863 0.94090318],[1.44177533 0.99202194],[1.49219602 1.04282267],[1.5425317  1.09353283],[1.59233756 1.14400435],[1.60355322 1.16062281],[1.61187136 1.17613817]
40000,[1.17204173 0.74789315],[1.21253784 0.7786452 ],[1.26500309 0.83366393],[1.30822152 0.88733743],[1.34905639 0.93895201],[1.38940585 0.98978077],[1.42969455 1.04009628],[1.47011068 1.09020221],[1.51070757 1.14024558],[1.53340975 1.17076596],[1.5379441  1.18189274]
50000,[1.17204173 0.74789315],[1.22446352 0.78115423],[1.28319831 0.84197735],[1.33445503 0.89631536],[1.38292842 0.9481048 ],[1.43046712 0.99882074],[1.477427   1.04914699],[1.52411004 1.09923689],[1.57054254 1.14935044],[1.61677326 1.19984699],[1.6334189  1.22736521]
60000,[1.17204173 0.74789315],[1.22635367 0.78243886],[1.28622908 0.84457407],[1.338655   0.89930997],[1.3888529  0.95139808],[1.4384939  1.00243995],[1.48791352 1.05307598],[1.53723921 1.10359998],[1.58669329 1.15402843],[1.63525971 1.20413972],[1.63059394 1.22436473]
70000,[1.17204173 0.74789315],[1.22495297 0.78456924],[1.28495    0.84666656],[1.33553389 0.9017744 ],[1.38477876 0.95360141],[1.43351175 1.00436009],[1.4819014  1.05470947],[1.53011426 1.10489669],[1.57821723 1.15505849],[1.61204384 1.19837723],[1.60721422 1.22171277]
80000,[1.17204173 0.74789315],[1.22454631 0.78541252],[1.28276421 0.8478266 ],[1.3322067  0.90312047],[1.37978593 0.95495755],[1.42664754 1.005723  ],[1.47281385 1.05609033],[1.51814344 1.10631178],[1.56244274 1.15649669],[1.60354941 1.20591684],[1.59675637 1.23176605]
90000,[1.17204173 0.74789315],[1.21557411 0.77862114],[1.26218701 0.83190794],[1.29967711 0.88401148],[1.33273951 0.93508469],[1.36111054 0.98582078],[1.38426207 1.0364708 ],[1.40135801 1.08716633],[1.41143439 1.13795835],[1.40678215 1.17878388],[1.38755687 1.20468472]
100000,[1.17204173 0.74789315],[1.22279583 0.77832171],[1.27936078 0.83266265],[1.32565292 0.88579915],[1.36808654 0.93746278],[1.40693113 0.98864195],[1.44139189 1.03970793],[1.47021877 1.09085814],[1.49175197 1.14220867],[1.50406033 1.19382624],[1.49461825 1.23240156]
