10000,[1.17204173 0.74789315],[1.11554875 0.78117919],[1.07550638 0.83252027],[1.04135824 0.86044491],[1.01861297 0.86957934],[1.01229669 0.87916139],[1.00998786 0.88834277],[1.00927515 0.8955216 ],[1.00884343 0.90155877],[1.00620212 0.90620711],[1.0024706  0.91298289]
20000,[1.17204173 0.74789315],[1.15654356 0.74675622],[1.19177686 0.79276967],[1.2260318  0.83998997],[1.24892585 0.88261909],[1.26252622 0.92054662],[1.27006957 0.9540071 ],[1.27367333 0.98357414],[1.27482587 1.00985258],[1.27516603 1.03362698],[1.2748899  1.05511548]
30000,[1.17204173 0.74789315],[1.16163723 0.78056068],[1.1691568  0.83195746],[1.1638625  0.87747319],[1.15707767 0.92352456],[1.15569355 0.97611515],[1.15284874 1.02982955],[1.16057683 1.08368105],[1.1719128  1.13803669],[1.18240553 1.19476561],[1.18288235 1.25167679]
40000,[1.17204173 0.74789315],[1.16397232 0.74855714],[1.20066839 0.79211756],[1.23475943 0.83813615],[1.25851333 0.88069894],[1.27472823 0.91964233],[1.28793596 0.95622339],[1.30348541 0.99250388],[1.32365361 1.02995515],[1.35077184 1.07028554],[1.38734389 1.11537245]
50000,[1.17204173 0.74789315],[1.15568323 0.7464987 ],[1.19039642 0.79274054],[1.22502634 0.84033396],[1.24869327 0.8834267 ],[1.26314883 0.92185797],[1.27166599 0.95588306],[1.27642661 0.9861391 ],[1.27960304 1.01355574],[1.28246485 1.03882803],[1.28528299 1.06225663]
60000,[1.17204173 0.74789315],[1.1560241 0.7467714],[1.1914549  0.79340197],[1.22663772 0.84113991],[1.25084855 0.88433261],[1.26591372 0.92288322],[1.27513535 0.95709669],[1.28079098 0.98766341],[1.28539407 1.01568784],[1.28989917 1.04174549],[1.29460762 1.06616902]
70000,[1.17204173 0.74789315],[1.14440421 0.75126649],[1.16126919 0.79826914],[1.18492061 0.84666553],[1.20601645 0.89123289],[1.22178383 0.9316147 ],[1.23310393 0.96757041],[1.24093592 0.99964374],[1.24609892 1.02792908],[1.2491946  1.05284184],[1.25178653 1.07543622]
80000,[1.17204173 0.74789315],[1.14111999 0.75067203],[1.15139423 0.79816575],[1.1776629  0.84675802],[1.20247785 0.89145853],[1.22106189 0.93171201],[1.23448243 0.96736372],[1.24388159 0.99911998],[1.25046184 1.0272408 ],[1.25537937 1.05243783],[1.26030738 1.07582139]
90000,[1.17204173 0.74789315],[1.12771633 0.75505263],[1.12129921 0.80344504],[1.14656267 0.85509546],[1.17183147 0.90119508],[1.19463426 0.94301953],[1.21270516 0.97989258],[1.22632432 1.01270027],[1.23680471 1.04171394],[1.24521502 1.06767052],[1.25384218 1.09213803]
100000,[1.17204173 0.74789315],[1.13429836 0.75317352],[1.13715773 0.80107643],[1.16254047 0.85170571],[1.1934407  0.89767409],[1.22065125 0.93993893],[1.24499133 0.97901481],[1.26855618 1.01628602],[1.29377714 1.05317085],[1.31995956 1.08959601],[1.34392952 1.1238294 ]
