10000,[1.17204173 0.74789315],[1.1330664  0.71070614],[1.07642099 0.66344426],[1.02376752 0.61346197],[0.97292529 0.56371611],[0.92277667 0.51425893],[0.87291453 0.46497981],[0.82316824 0.41590718],[0.77365134 0.36821166],[0.72528121 0.35923109],[0.68131975 0.35713017]
20000,[1.17204173 0.74789315],[1.17609182 0.69921796],[1.18640735 0.66122618],[1.20122206 0.60054898],[1.22999596 0.56201352],[1.25683171 0.49858928],[1.2987239  0.46118713],[1.33218633 0.39550254],[1.32719156 0.42946822],[1.36005178 0.36381055],[1.35827211 0.40151496]
30000,[1.17204173 0.74789315],[1.19160925 0.70574337],[1.21107668 0.66119907],[1.23549052 0.60812976],[1.26261994 0.56295075],[1.29138911 0.50556663],[1.32856004 0.4629978 ],[1.35846027 0.39937267],[1.38677754 0.38829606],[1.39218343 0.33503455],[1.42352734 0.33144163]
40000,[1.17204173 0.74789315],[1.22462156 0.70653058],[1.27366783 0.66140905],[1.30827274 0.61969185],[1.35996593 0.5749305 ],[1.35675374 0.5419468 ],[1.40184475 0.50865737],[1.39638257 0.46267979],[1.4140119  0.46813616],[1.41879936 0.41436269],[1.43970648 0.42502412]
50000,[1.17204173 0.74789315],[1.22155462 0.70928796],[1.26876526 0.66239342],[1.26807385 0.65242634],[1.31451707 0.60361841],[1.29922549 0.60898936],[1.31863241 0.57752183],[1.3181677  0.57529154],[1.31302876 0.56415913],[1.32513821 0.5523007 ],[1.31816655 0.54743311]
60000,[1.17204173 0.74789315],[1.22291537 0.70928234],[1.27017548 0.66185758],[1.2755406  0.64904177],[1.32191406 0.59927001],[1.30749308 0.60573985],[1.3211163  0.57649102],[1.32332008 0.57357692],[1.31384756 0.56205472],[1.32986779 0.5483857 ],[1.3122684  0.54591382]
70000,[1.17204173 0.74789315],[1.22209996 0.70983014],[1.26928367 0.66250158],[1.26565286 0.65544105],[1.31091523 0.60596777],[1.29317114 0.61734619],[1.30385428 0.58964912],[1.30181625 0.59353704],[1.29084249 0.58202157],[1.29939373 0.57901   ],[1.28397163 0.57278946]
80000,[1.17204173 0.74789315],[1.21218993 0.70702809],[1.25245319 0.66193957],[1.29331057 0.60437559],[1.34534733 0.56280404],[1.36969584 0.47999617],[1.42969124 0.44322885],[1.42940727 0.36488512],[1.45818797 0.35159755],[1.44981822 0.29691044],[1.44569208 0.31061794]
90000,[1.17204173 0.74789315],[1.22556336 0.70556457],[1.27589197 0.66150232],[1.32580498 0.60625162],[1.38073813 0.56299542],[1.41907863 0.50286722],[1.48091861 0.46392328],[1.4566544 0.4152188],[1.50712135 0.39616181]
100000,[1.17204173 0.74789315],[1.22536019 0.70797398],[1.27335509 0.66090289],[1.32542018 0.61157569],[1.36709894 0.56897309],[1.39153479 0.53536751],[1.40561986 0.52433861],[1.41422744 0.49230094],[1.47519112 0.44496977],[1.46820175 0.39183181],[1.50382221 0.37437233]
110000,[1.17204173 0.74789315],[1.22534339 0.70806231],[1.27317687 0.66085335],[1.3253209 0.6118666],[1.36240463 0.57197187],[1.38722645 0.53921299],[1.41639028 0.51602549],[1.43839109 0.46755211],[1.49710326 0.41977966]
120000,[1.17204173 0.74789315],[1.22471536 0.70802645],[1.27264382 0.66092468],[1.32471734 0.61139901],[1.37684746 0.5638599 ],[1.41443809 0.51237031],[1.474307   0.46813355],[1.45550591 0.41672942],[1.5082198  0.39045247]
130000,[1.17204173 0.74789315],[1.20173912 0.70805122],[1.24453414 0.66087873],[1.29455828 0.61170904],[1.3463481 0.5639049],[1.39471089 0.5034637 ],[1.45537394 0.46098484],[1.43506657 0.40716374],[1.49584686 0.37536404]
140000,[1.17204173 0.74789315],[1.22508559 0.70808508],[1.27286537 0.66084911],[1.32504761 0.61182786],[1.37911858 0.56418719],[1.41705112 0.50928538],[1.47768281 0.46601538],[1.45322145 0.4148837 ],[1.50842491 0.38675904]
150000,[1.17204173 0.74789315],[1.22534098 0.70808901],[1.27308083 0.66080175],[1.32525969 0.61204591],[1.35991443 0.57336658],[1.40078741 0.52727003],[1.45911626 0.48093632],[1.45485676 0.42898098],[1.51178747 0.3954479 ]
160000,[1.17204173 0.74789315],[1.13400738 0.70804621],[1.11182081 0.65887636],[1.1084587  0.61017714],[1.13820406 0.56135316],[1.18516424 0.50353408],[1.24340169 0.4586889 ],[1.27673967 0.38793917],[1.339379  0.3508669],[1.36490403 0.29216138],[1.40924099 0.27164211]
