10000,[1.17204173 0.74789315],[1.11870688 0.77916342],[1.0648278  0.82412968],[1.02361723 0.83713309],[0.99569469 0.84319246],[0.98990587 0.85199687],[0.98512194 0.8566404 ],[0.97613621 0.8593785 ],[0.9611439  0.85948289],[0.9535781  0.86332328],[0.94783962 0.86685988],[0.94016653 0.86951717],[0.93430143 0.87324546]
20000,[1.17204173 0.74789315],[1.12641966 0.7672892 ],[1.05400498 0.85193265],[0.97123945 0.88949122],[0.90891795 0.9029935 ],[0.89042666 0.90770763],[0.88647327 0.90972969],[0.88519917 0.90812554],[0.8847301  0.90693371],[0.8845325  0.90599888],[0.87761123 0.89566947],[0.87283627 0.88940564],[0.86883223 0.88415856]
30000,[1.17204173 0.74789315],[1.12320605 0.77314684],[1.07238876 0.82086306],[1.04576644 0.849789  ],[1.03472429 0.86338583],[1.02957953 0.8687367 ],[1.02710326 0.87116529],[1.02574886 0.87232181],[1.02500759 0.87317524],[1.02447215 0.87362842],[1.0242367  0.87408754],[1.02408124 0.8744102 ],[1.02397544 0.87464019]
40000,[1.17204173 0.74789315],[1.20480254 0.79478749],[1.17680534 0.76004128],[1.12567105 0.75135783],[1.1020474 0.7423143],[1.09478923 0.73808967],[1.09438691 0.73459548],[1.09689062 0.73542702],[1.10101436 0.73461416],[1.10371433 0.73474332],[1.10553935 0.73538441],[1.10678913 0.73663536],[1.10753753 0.73845269]
50000,[1.17204173 0.74789315],[1.12135212 0.78235156],[1.07723236 0.85060418],[1.05663754 0.8884494 ],[1.04665123 0.900357  ],[1.04353205 0.90859476],[1.04316836 0.91391477],[1.04930194 0.93029921],[1.05730136 0.95559257],[1.06263547 0.98704081],[1.06023315 1.0365962 ],[1.0434491  1.08842457],[1.00565618 1.13619796]
60000,[1.17204173 0.74789315],[1.12021379 0.79135409],[1.07347698 0.84607409],[1.05201151 0.88163354],[1.04530238 0.90265603],[1.04821377 0.92701344],[1.05580646 0.95851326],[1.06008877 1.00354146],[1.05634606 1.04964418],[1.03764696 1.09740384],[1.00706308 1.13125575],[0.96788307 1.15361348],[0.92775806 1.1704688 ]
70000,[1.17204173 0.74789315],[1.11978566 0.79212912],[1.07337414 0.84685719],[1.05356288 0.88338468],[1.04636746 0.90382304],[1.0499097  0.92815507],[1.05690072 0.95730052],[1.06202053 0.98658293],[1.06385018 1.01424327],[1.06257675 1.03585028],[1.0621061  1.04269524],[1.0619533  1.04531223],[1.06194684 1.0465338 ]
80000,[1.17204173 0.74789315],[1.11978331 0.79213753],[1.07334485 0.8468594 ],[1.05354437 0.88309587],[1.04612419 0.90104511],[1.0439813  0.90965671],[1.04310849 0.9135468 ],[1.04283164 0.91513224],[1.04910783 0.92859548],[1.05318893 0.93578722],[1.05990036 0.95161743],[1.0635366  0.95821372],[1.067503   0.97264422]
90000,[1.17204173 0.74789315],[1.11977994 0.79219299],[1.07338441 0.84698233],[1.0533061  0.88367018],[1.04625237 0.90520636],[1.05022303 0.9316326 ],[1.05708445 0.97460168],[1.05960958 1.0204713 ],[1.05006284 1.06995765],[1.03462322 1.10009625],[1.01516237 1.11788051],[0.99117971 1.12953658],[0.97312261 1.13404351]
100000,[1.17204173 0.74789315],[1.11978153 0.79221104],[1.07338889 0.84700854],[1.05340681 0.88371001],[1.04633063 0.90530217],[1.05028794 0.93146054],[1.05684674 0.96497269],[1.06043145 1.01381795],[1.06018199 1.03669773],[1.06171452 1.03885306],[1.06326506 1.03819906],[1.06422365 1.0381017 ],[1.06481812 1.03815804]
110000,[1.17204173 0.74789315],[1.11949461 0.79222164],[1.07308358 0.84691447],[1.05317692 0.88362807],[1.04619275 0.90552485],[1.05026689 0.93253008],[1.05785999 0.97783349],[1.05783027 1.02874202],[1.04980126 1.0694868 ],[1.05286567 1.06144947],[1.05488803 1.05972224],[1.0559882  1.05933113],[1.05628312 1.05959148]
120000,[1.17204173 0.74789315],[1.11978117 0.79220422],[1.07331316 0.84684817],[1.05348475 0.8835134 ],[1.04640546 0.90492272],[1.05026499 0.9306871 ],[1.05702011 0.96184921],[1.06104404 1.00548946],[1.05904499 1.04108786],[1.0595083 1.0457507],[1.06055146 1.04589648],[1.06135382 1.04585384],[1.06190026 1.04588419]
130000,[1.17204173 0.74789315],[1.11978105 0.79220265],[1.07331293 0.84684578],[1.05348412 0.88350531],[1.04639458 0.90479657],[1.05021055 0.9302162 ],[1.05704627 0.96072789],[1.06182263 0.9903883 ],[1.06376907 1.0150817 ],[1.06311053 1.0327977 ],[1.06381625 1.03650057],[1.06494837 1.03571666],[1.06576527 1.03530676]
140000,[1.17204173 0.74789315],[1.11957734 0.79055644],[1.07330683 0.8446581 ],[1.04972076 0.87721481],[1.04404214 0.89973715],[1.04305654 0.91258399],[1.04910028 0.93354397],[1.05681351 0.96000644],[1.06242848 0.98475549],[1.06532188 1.00350687],[1.06779201 1.00705527],[1.06962006 1.00587325],[1.07071866 1.0055416 ]
150000,[1.17204173 0.74789315],[1.11951977 0.78507359],[1.07360169 0.84047327],[1.04910067 0.87226982],[1.04288532 0.89444485],[1.04169787 0.90698346],[1.04177778 0.91443636],[1.0485211  0.93250271],[1.05666788 0.95811518],[1.0626088  0.98333057],[1.06482061 0.99780213],[1.06619779 1.01532859],[1.06904646 1.00747538]
160000,[1.17204173 0.74789315],[1.11961342 0.78734458],[1.07354026 0.84249675],[1.04822385 0.86583375],[1.03624543 0.88053792],[1.03135185 0.88725128],[1.02885766 0.89039057],[1.0273804  0.89198811],[1.02653635 0.89282649],[1.02601467 0.89326678],[1.02567091 0.89350287],[1.02542996 0.89364083],[1.02525074 0.89373304]
170000,[1.17204173 0.74789315],[1.11972613 0.78934247],[1.07346124 0.84414705],[1.0497823  0.87338752],[1.04375884 0.89643537],[1.04257812 0.90976121],[1.04844039 0.93064171],[1.05637919 0.95782501],[1.06216157 0.98450926],[1.06512409 1.00665895],[1.0669646  1.01259429],[1.06831915 1.01310593],[1.0692269  1.01298818]
180000,[1.17204173 0.74789315],[1.11977869 0.79210783],[1.07338747 0.84681658],[1.05307948 0.88324731],[1.04583542 0.90193591],[1.04391002 0.9107318 ],[1.04475696 0.91966325],[1.0499491  0.93876312],[1.05759243 0.95406863],[1.06269651 0.97269563],[1.06629565 0.98149207],[1.06865713 0.97902187],[1.07004227 0.97837313]
190000,[1.17204173 0.74789315],[1.11978568 0.79215363],[1.07340605 0.84695996],[1.0535711  0.88333229],[1.04630165 0.90302873],[1.04583686 0.91881508],[1.05182198 0.94690402],[1.05712845 0.96168358],[1.06250161 0.98619821],[1.06550499 1.00496453],[1.06733331 1.01112528],[1.06858731 1.01229583],[1.06940567 1.01256301]
200000,[1.17204173 0.74789315],[1.11978528 0.79215046],[1.07342743 0.846951  ],[1.0534689  0.88325634],[1.04608433 0.90140384],[1.04397131 0.90990032],[1.04309595 0.91360001],[1.04282202 0.91512499],[1.04890851 0.92843933],[1.05305978 0.93581799],[1.05981137 0.95173467],[1.06346797 0.95869128],[1.0674726  0.97357457]
210000,[1.17204173 0.74789315],[1.11978108 0.79220305],[1.0733132 0.8468501],[1.05348482 0.88347148],[1.04628702 0.9035875 ],[1.04829975 0.92556126],[1.05353412 0.94668236],[1.05586324 0.9468481 ],[1.05725285 0.9484976 ],[1.06343366 0.97483595],[1.06662848 0.98233163],[1.06852849 0.98257403],[1.06963162 0.98258083]
220000,[1.17204173 0.74789315],[1.11949451 0.79221696],[1.07315686 0.84704236],[1.05319682 0.88366092],[1.04616865 0.90518792],[1.05015954 0.93136232],[1.05664465 0.96594967],[1.06005493 1.01593953],[1.05825386 1.04431294],[1.0545202  1.05861319],[1.0490953  1.07529493],[1.05041221 1.07008178],[1.05120977 1.06891529]
230000,[1.17204173 0.74789315],[1.11978505 0.79214899],[1.07340362 0.84695834],[1.05343028 0.88344997],[1.04632168 0.90460389],[1.05017478 0.93037027],[1.05696018 0.96168481],[1.06110762 1.00704163],[1.05814051 1.04501982],[1.05152542 1.06922344],[1.04588834 1.07930976],[1.03299461 1.10067814],[1.01930773 1.10907404]
240000,[1.17204173 0.74789315],[1.11978155 0.79212629],[1.07337364 0.84689263],[1.05335833 0.88359168],[1.04630085 0.90521058],[1.0502791  0.93158563],[1.05671648 0.97167152],[1.05947686 1.02016662],[1.05638135 1.05089699],[1.0508591  1.07024881],[1.05042269 1.07032507],[1.05022106 1.0711186 ],[1.0499743  1.07122363]
250000,[1.17204173 0.74789315],[1.11949467 0.79222195],[1.07308373 0.84691551],[1.05317705 0.88363334],[1.04619888 0.90558905],[1.05028127 0.93270747],[1.05794873 0.97836013],[1.05991231 1.02123297],[1.06501969 1.00990612],[1.06663618 1.01480982],[1.0681264  1.01325092],[1.06880315 1.01416019],[1.06935595 1.01390298]
260000,[1.17204173 0.74789315],[1.11949469 0.79222261],[1.07308409 0.84691602],[1.05317755 0.88363569],[1.04620446 0.9056411 ],[1.05029183 0.93289959],[1.05806227 0.97882655],[1.05685461 1.03736692],[1.04638634 1.07904096],[1.03735191 1.09220187],[1.03269323 1.09504913],[1.02252449 1.10331364],[1.0119471  1.10924406]
270000,[1.17204173 0.74789315],[1.11949469 0.7922226 ],[1.07308408 0.846916  ],[1.05317753 0.8836356 ],[1.04620483 0.90564468],[1.05029283 0.93291285],[1.05806365 0.9788813 ],[1.05677501 1.03815213],[1.03770113 1.09607172],[1.01120799 1.12593684],[0.98098242 1.13818977],[0.95640202 1.14825143],[0.92842802 1.15717735]
280000,[1.17204173 0.74789315],[1.11949469 0.79222283],[1.07308422 0.8469162 ],[1.05317771 0.88363603],[1.04620524 0.9056475 ],[1.05029365 0.93292404],[1.0580624 0.9789207],[1.05674204 1.03840556],[1.03676318 1.09836822],[0.99499426 1.14021875],[0.95140106 1.16348527],[0.90654995 1.17818792],[0.86124675 1.18416473]
290000,[1.17204173 0.74789315],[1.11949469 0.79222256],[1.07308407 0.846916  ],[1.05317747 0.8836343 ],[1.04620237 0.90562172],[1.05029032 0.93284191],[1.05802341 0.978729  ],[1.05677156 1.03793392],[1.03709688 1.09755512],[0.99553799 1.13996013],[0.94843477 1.16725201],[0.90009357 1.18497914],[0.85319319 1.19423461]
300000,[1.17204173 0.74789315],[1.11949466 0.79222187],[1.0730837  0.84691547],[1.05317682 0.88362941],[1.04620036 0.90560586],[1.05028719 0.93280301],[1.05790689 0.97860164],[1.05672839 1.03790135],[1.03689204 1.09802662],[0.99256915 1.14147897],[0.94393787 1.17037227],[0.89451082 1.1882642 ],[0.84612103 1.19641042]
310000,[1.17204173 0.74789315],[1.1194947  0.79222287],[1.07308424 0.84691624],[1.05317774 0.8836362 ],[1.04620543 0.90564902],[1.05029356 0.93292951],[1.0580532  0.97894326],[1.0567304 1.0385713],[1.03626685 1.09953895],[0.98830016 1.14435258],[0.93734483 1.17489942],[0.88616557 1.19168294],[0.83849    1.19875874]
320000,[1.17204173 0.74789315],[1.1194947  0.79222288],[1.07308425 0.84691624],[1.05317775 0.8836362 ],[1.04620516 0.90564654],[1.05029342 0.93292042],[1.05806227 0.97892044],[1.05672088 1.03847574],[1.03637117 1.09928361],[0.98784659 1.14496659],[0.93571241 1.17647106],[0.88351651 1.19373946],[0.83593199 1.2013662 ]
330000,[1.17204173 0.74789315],[1.1194947  0.79222288],[1.07308425 0.84691624],[1.05317771 0.88363553],[1.04620078 0.90560567],[1.05028442 0.93274972],[1.05793863 0.97840967],[1.05680574 1.03704574],[1.03724063 1.09718197],[0.99177473 1.14179284],[0.9418812  1.17220567],[0.89173105 1.19051857],[0.84328935 1.19910859]
340000,[1.17204173 0.74789315],[1.11957084 0.79070357],[1.07321632 0.84548193],[1.04959921 0.87674346],[1.04315344 0.89452518],[1.04135336 0.90335369],[1.04126015 0.90831139],[1.0416659  0.91126443],[1.04219578 0.91317896],[1.0426903 0.9144413],[1.04289326 0.91532413],[1.04300104 0.91586901],[1.04311944 0.91627197]
350000,[1.17204173 0.74789315],[1.11977912 0.79205282],[1.0733595  0.84677508],[1.05322922 0.88332802],[1.04591895 0.90174967],[1.04401965 0.91127872],[1.04932168 0.92935683],[1.05692587 0.95367588],[1.06275602 0.98005081],[1.06543424 1.00516328],[1.06653232 1.01565863],[1.06528988 1.03192079],[1.06398569 1.04140026]
360000,[1.17204173 0.74789315],[1.11978108 0.79220297],[1.07331324 0.84685102],[1.05332604 0.88366327],[1.04603792 0.90253039],[1.04406615 0.91110093],[1.04664335 0.9251123 ],[1.05522808 0.95524557],[1.06056178 0.95748887],[1.06385178 0.95526583],[1.06577226 0.9545801 ],[1.06682798 0.95456084],[1.06747519 0.95448738]
370000,[1.17204173 0.74789315],[1.11949467 0.79222203],[1.07308388 0.84691573],[1.05317727 0.88363454],[1.04613929 0.90493595],[1.04995323 0.92979155],[1.05695003 0.95752672],[1.06275469 0.97734865],[1.06651477 0.97529255],[1.06869515 0.97524578],[1.07000206 0.97528181],[1.07077106 0.97538549],[1.07127367 0.97533012]
380000,[1.17204173 0.74789315],[1.11949468 0.79222228],[1.07308401 0.84691591],[1.05317745 0.88363537],[1.04614594 0.9050264 ],[1.04998471 0.92984033],[1.05693802 0.95702083],[1.0628463  0.97434835],[1.06673189 0.97150927],[1.06902205 0.9704188 ],[1.07037317 0.97048435],[1.07116969 0.9705974 ],[1.07168066 0.9704138 ]
390000,[1.17204173 0.74789315],[1.11965488 0.78989504],[1.07323638 0.84547247],[1.04958898 0.87322428],[1.03603738 0.84024867],[1.02811533 0.81836393],[1.02507744 0.80607917],[1.02424646 0.80444269],[1.02423094 0.80167933],[1.0245876 0.7998635],[1.0253081  0.80118327],[1.02578903 0.80138373],[1.02612765 0.80157761]
400000,[1.17204173 0.74789315],[1.12005677 0.7618066 ],[1.07126997 0.84426442],[1.04380941 0.87339112],[1.03038835 0.83865001],[1.02545642 0.81972699],[1.02319157 0.80421599],[1.02274061 0.79147607],[1.02273399 0.78012244],[1.02341154 0.77151684],[1.02449191 0.76380705],[1.02583975 0.75898594],[1.02698562 0.75479893]
410000,[1.17204173 0.74789315],[1.12517543 0.77451478],[1.07250717 0.79808802],[1.03471173 0.81571726],[0.98314293 0.83810765],[0.98878852 0.80028967],[0.93853988 0.83431731],[0.91843866 0.80986196],[0.8691835  0.82735649],[0.81629734 0.81694134],[0.76939003 0.83228393],[0.74245743 0.81623541],[0.73450214 0.8227948 ]
420000,[1.17204173 0.74789315],[1.12518686 0.75423556],[1.07256967 0.75571058],[1.02451379 0.75968428],[0.99262146 0.75934447],[1.00397486 0.72544881],[0.99281074 0.71529588],[0.99495622 0.69768664],[0.99067092 0.68541223],[0.99150404 0.6936508 ],[0.98858542 0.68237371],[0.98624707 0.67790814],[0.9864932  0.66821352]
430000,[1.17204173 0.74789315],[1.12468414 0.72659591],[1.06356576 0.76086977],[1.0125663  0.77619777],[0.97492256 0.77846656],[0.94482601 0.7758728 ],[0.9174988  0.76612961],[0.90052547 0.75796411],[0.88407549 0.7478287 ],[0.86840624 0.73666745],[0.85324971 0.7257305 ],[0.83723757 0.71488411],[0.83423801 0.70962061]
440000,[1.17204173 0.74789315],[1.12398917 0.72680902],[1.06307632 0.76013245],[1.01294871 0.77206225],[0.97623654 0.77397268],[0.94872964 0.77343413],[0.91925012 0.76295416],[0.90284631 0.75318864],[0.88675021 0.7428861 ],[0.87075981 0.73173349],[0.85533882 0.72054052],[0.83937965 0.70976256],[0.83333183 0.70275285]
450000,[1.17204173 0.74789315],[1.11780168 0.73611727],[1.08445796 0.73717601],[1.02727439 0.72974129],[0.96723497 0.71323166],[0.92821025 0.6764742 ],[0.92510856 0.63054779],[0.92839476 0.58080909],[0.92342467 0.53605842],[0.9109753  0.49687918],[0.89114178 0.463317  ],[0.86737716 0.43479156],[0.83835796 0.41025399]
460000,[1.17204173 0.74789315],[1.11440826 0.73852144],[1.0831865 0.7184216],[1.04256302 0.70633244],[0.99343735 0.68278098],[0.97477798 0.65145136],[0.96977406 0.61762514],[0.96821506 0.58622359],[0.97146909 0.58023612],[0.97415855 0.5807852 ],[0.97600679 0.58176101],[0.97692962 0.58217215],[0.97755935 0.58236469]
470000,[1.17204173 0.74789315],[1.12465671 0.79400943],[1.07889073 0.87130178],[1.03385088 0.94450564],[1.01402541 0.97871597],[1.02031712 0.996282  ],[1.02908414 1.01076124],[1.03995497 1.02792989],[1.05209649 1.05122624],[1.06109215 1.08363963],[1.04691766 1.12790464],[1.03207357 1.17141888],[1.01864662 1.21491787]
