10000,[1.17204173 0.74789315],[1.21794857 0.69088737],[1.24847234 0.65226075],[1.28400962 0.60644169],[1.31506054 0.56212254],[1.32935793 0.52754935],[1.33988471 0.49648986],[1.34770445 0.4684926 ],[1.3528961 0.4435941]
20000,[1.17204173 0.74789315],[1.19620578 0.70934836],[1.21453906 0.66339489],[1.24181325 0.61410204],[1.27634625 0.56444516],[1.28660528 0.54257053],[1.28059892 0.53832509],[1.27327361 0.53713458],[1.26593218 0.53756984]
30000,[1.17204173 0.74789315],[1.13884968 0.70684292],[1.09899926 0.66585391],[1.05618987 0.61772661],[1.01584568 0.5683402 ],[0.97911202 0.51861549],[0.94677309 0.46878846],[0.91979438 0.41892429],[0.89931206 0.3690563 ]
40000,[1.17204173 0.74789315],[1.23917142 0.68134814],[1.25336891 0.6389753 ],[1.27516057 0.59189312],[1.30491392 0.54222182],[1.34188796 0.49097678],[1.38399797 0.43860625],[1.42929121 0.38535177],[1.47620345 0.33149697]
50000,[1.17204173 0.74789315],[1.26871901 0.7039259 ],[1.2696463  0.66430307],[1.26805522 0.61921333],[1.28561374 0.57053971],[1.31850774 0.52015814],[1.36164658 0.46861556],[1.40974048 0.41613283],[1.45956732 0.36284608]
60000,[1.17204173 0.74789315],[1.13715208 0.70684078],[1.09626453 0.66834784],[1.04965459 0.61747846],[1.01477121 0.54701755],[0.97942387 0.47102297],[0.9366362  0.41875064],[0.89653967 0.36644382],[0.86044929 0.31392058]
70000,[1.17204173 0.74789315],[1.23509571 0.69449934],[1.26319795 0.64990336],[1.29516006 0.60197668],[1.33039792 0.55252192],[1.36837471 0.50240871],[1.40856906 0.45201147],[1.45030968 0.40161828],[1.48981132 0.35464211]
80000,[1.17204173 0.74789315],[1.24413437 0.72035903],[1.2720906  0.67313177],[1.31522724 0.62458764],[1.36142933 0.57457737],[1.40896436 0.52414805],[1.45687556 0.47383264],[1.477811   0.44509085],[1.48667313 0.42605572]
90000,[1.17204173 0.74789315],[1.22552859 0.69078198],[1.23343563 0.6456331 ],[1.24252533 0.59750247],[1.25330479 0.54804231],[1.26587344 0.49794208],[1.28011186 0.44750499],[1.29589585 0.39687281],[1.31312213 0.34612766]
100000,[1.17204173 0.74789315],[1.25716849 0.68899142],[1.24823343 0.64300583],[1.27079092 0.59317617],[1.30248861 0.54149254],[1.33989901 0.48961708],[1.38152713 0.43826628],[1.42602126 0.38724508],[1.47240016 0.33646139]
110000,[1.17204173 0.74789315],[1.24580318 0.68773674],[1.27278801 0.64166672],[1.31742059 0.59033696],[1.3642777  0.53903777],[1.41246755 0.48826934],[1.46139196 0.43800585],[1.51067234 0.38838384],[1.56013893 0.33969207]
120000,[1.17204173 0.74789315],[1.16975061 0.70443675],[1.16937572 0.659214  ],[1.19328581 0.60922022],[1.2342464  0.55694948],[1.28109168 0.50423296],[1.32956576 0.45325829],[1.37905751 0.4031157 ],[1.42912949 0.35351009]
130000,[1.17204173 0.74789315],[1.2158003  0.68189923],[1.24728777 0.6339079 ],[1.2938973  0.58187207],[1.34121564 0.52814356],[1.38851454 0.47569426],[1.43755049 0.42624207],[1.48746642 0.37797163],[1.53672455 0.3310822 ]
140000,[1.17204173 0.74789315],[1.20366354 0.69782941],[1.24013663 0.64984483],[1.28943081 0.5948068 ],[1.33589884 0.53859922],[1.38147534 0.48463418],[1.42915749 0.43400308],[1.47834405 0.38489748],[1.51966398 0.34053136]
150000,[1.17204173 0.74789315],[1.20804977 0.69865931],[1.24154966 0.65215338],[1.28925646 0.60137494],[1.33899889 0.54769738],[1.38737526 0.49287827],[1.43468519 0.43996231],[1.48310467 0.39084961],[1.51116178 0.35610865]
160000,[1.17204173 0.74789315],[1.22849534 0.70639131],[1.27401076 0.65835316],[1.32455857 0.60191084],[1.37286905 0.54442677],[1.42136904 0.49193114],[1.47079514 0.44126972],[1.52071114 0.3913546 ],[1.57075157 0.34183124]
170000,[1.17204173 0.74789315],[1.22666104 0.70696137],[1.27268795 0.65763629],[1.32261936 0.5978271 ],[1.3703735 0.5441488],[1.41909439 0.49279163],[1.46853293 0.44235295],[1.51831777 0.39230027],[1.56765309 0.34275408]
180000,[1.17204173 0.74789315],[1.23361809 0.70196213],[1.27966271 0.65301275],[1.32982342 0.59286361],[1.37767651 0.53929369],[1.426523   0.48802561],[1.47610483 0.43764486],[1.52603851 0.38762294],[1.57602505 0.33780276]
190000,[1.17204173 0.74789315],[1.24383432 0.69813479],[1.27891723 0.65070512],[1.33848375 0.58759904],[1.38555679 0.53428805],[1.43418591 0.48326832],[1.48377558 0.43309789],[1.53380919 0.3832642 ],[1.5840255  0.33357992]
200000,[1.17204173 0.74789315],[1.22466213 0.70408519],[1.25451391 0.6550411 ],[1.30050648 0.59717456],[1.34581194 0.54386949],[1.39223738 0.49253772],[1.44019063 0.44165664],[1.48892273 0.39139815],[1.53817657 0.34139996]
210000,[1.17204173 0.74789315],[1.14618253 0.71114761],[1.11933544 0.66491947],[1.10856208 0.6150227 ],[1.11609872 0.56284557],[1.14378777 0.50709764],[1.18102922 0.44984504],[1.22320039 0.39820618],[1.26908561 0.34861777]
220000,[1.17204173 0.74789315],[1.17457798 0.70429751],[1.15268727 0.65987392],[1.16990474 0.6108185 ],[1.19954654 0.56029522],[1.23860651 0.50909803],[1.28310487 0.45756592],[1.33070462 0.40566511],[1.37924972 0.35511819]
230000,[1.17204173 0.74789315],[1.15104376 0.71182961],[1.14043982 0.66546752],[1.13610131 0.61608984],[1.14497467 0.56617005],[1.17329433 0.51602168],[1.215044   0.46564564],[1.26267179 0.41507494],[1.29738159 0.384314  ]
240000,[1.17204173 0.74789315],[1.20915593 0.70967433],[1.23436298 0.66165653],[1.27939626 0.607099  ],[1.32711205 0.5519242 ],[1.37727355 0.49975708],[1.42879257 0.44848511],[1.48043064 0.39744699],[1.53156727 0.34674603]
250000,[1.17204173 0.74789315],[1.22280742 0.71161994],[1.25952166 0.66547197],[1.30209632 0.61591085],[1.35136419 0.56535022],[1.40358488 0.51298064],[1.45617865 0.45672827],[1.50749988 0.39813837],[1.55788453 0.34307799]
