10000,[1.17204173 0.74789315],[1.23374196 0.78421634],[1.27789226 0.82971647],[1.32474577 0.87882147],[1.36721909 0.9234385 ],[1.37197231 0.93467672],[1.37227452 0.94151093],[1.37025704 0.9457344 ],[1.36695829 0.94828116],[1.36296409 0.9497085 ],[1.35862105 0.95036678],[1.35414462 0.95048926],[1.34967388 0.95023881]
20000,[1.17204173 0.74789315],[1.20650074 0.77799193],[1.22016321 0.82294136],[1.23514151 0.8708226 ],[1.25432358 0.92014458],[1.27610394 0.96994689],[1.29993372 1.01992201],[1.32374442 1.06818704],[1.33103112 1.0971373 ],[1.33483011 1.12033752],[1.33642424 1.13916456],[1.33648035 1.15443545],[1.3354295  1.16676332]
30000,[1.17204173 0.74789315],[1.21304608 0.79132084],[1.23201699 0.83556876],[1.25818281 0.88379357],[1.29046392 0.933235  ],[1.31792631 0.97456886],[1.32854304 0.99621346],[1.33618709 1.01301858],[1.34182898 1.02624189],[1.34606301 1.0367451 ],[1.34927941 1.04515321],[1.35174648 1.05192869],[1.35365262 1.0574214 ]
40000,[1.17204173 0.74789315],[1.21201704 0.78985632],[1.22822135 0.83336185],[1.24820628 0.88149809],[1.27158154 0.93092178],[1.28526812 0.96845617],[1.28574363 0.98920677],[1.28411447 1.00614089],[1.28126039 1.02036679],[1.277723   1.03256643],[1.27381726 1.04318022],[1.26973286 1.05250753],[1.26558847 1.06076297]
50000,[1.17204173 0.74789315],[1.21776023 0.78869839],[1.24010102 0.83213343],[1.26790018 0.88023894],[1.2973203  0.92625975],[1.29946105 0.94120008],[1.29876347 0.95178184],[1.29670817 0.95971656],[1.29402539 0.96592329],[1.29110063 0.97094444],[1.28813036 0.97510992],[1.28519969 0.97863562],[1.28237152 0.98165839]
60000,[1.17204173 0.74789315],[1.23658822 0.78389862],[1.27761931 0.82962328],[1.32282213 0.87837928],[1.33711834 0.89969004],[1.33950885 0.90985254],[1.33965676 0.91738763],[1.33854353 0.92316508],[1.33674486 0.92773703],[1.33459689 0.9314517 ],[1.33229547 0.93453181],[1.32995516 0.93712436],[1.32764326 0.93933028]
70000,[1.17204173 0.74789315],[1.22242677 0.77883215],[1.26325737 0.83290008],[1.27442584 0.86516505],[1.28169838 0.89484788],[1.28850775 0.92387102],[1.29285977 0.95071971],[1.29443864 0.97522276],[1.29313981 0.99667878],[1.28970089 1.01531424],[1.28504083 1.03164515],[1.27967926 1.04608748],[1.27393953 1.05880416]
80000,[1.17204173 0.74789315],[1.23122469 0.78461998],[1.27334345 0.84098292],[1.31982356 0.89371715],[1.36029688 0.9414291 ],[1.3781334 0.9781276],[1.38777085 1.00943076],[1.3905536  1.03564228],[1.38781165 1.05714635],[1.38085315 1.07445552],[1.37092604 1.0881915 ],[1.35901621 1.09892087],[1.34584996 1.10711236]
90000,[1.17204173 0.74789315],[1.23216498 0.78609151],[1.27529311 0.84369533],[1.32292622 0.89597024],[1.37273797 0.94590932],[1.42350034 0.99445059],[1.45909642 1.0323034 ],[1.47290907 1.05242931],[1.4735911  1.06005559],[1.46808781 1.06114015],[1.46123618 1.06024889],[1.45459752 1.0589163 ],[1.44850048 1.05753586]
100000,[1.17204173 0.74789315],[1.23155109 0.78644788],[1.26619815 0.84003535],[1.27187793 0.87895573],[1.2770802 0.9150275],[1.28085572 0.9479989 ],[1.28265053 0.97753027],[1.28373901 1.00420472],[1.2844571 1.0282278],[1.28462892 1.04976132],[1.28440311 1.06899276],[1.28390023 1.08610758],[1.28321627 1.1012861 ]
