10000,[1.17204173 0.74789315],[1.24969751 0.7864155 ],[1.27747915 0.82568402],[1.32020621 0.8670674 ],[1.37004513 0.90491741],[1.41998829 0.94505408],[1.46997553 0.98672928],[1.51996466 1.02964746],[1.56993122 1.07360799]
20000,[1.17204173 0.74789315],[1.24076448 0.76762715],[1.26353682 0.77919136],[1.27050695 0.80064507],[1.28704778 0.82923291],[1.32049846 0.85932603],[1.3703908  0.87790172],[1.41694984 0.90184304],[1.46680694 0.92226448]
30000,[1.17204173 0.74789315],[1.23873339 0.797061  ],[1.29333184 0.84102535],[1.3447395  0.88320408],[1.39512959 0.92518642],[1.44504622 0.96614243],[1.49463664 1.00552954],[1.54399598 1.04304933],[1.58331339 1.07696016]
40000,[1.17204173 0.74789315],[1.25032561 0.78666435],[1.28983606 0.83245146],[1.33461271 0.8691662 ],[1.38751909 0.88668068],[1.43878165 0.89854677],[1.4893645  0.90860164],[1.53973889 0.91627795],[1.5900012  0.92187676]
50000,[1.17204173 0.74789315],[1.24324094 0.7907373 ],[1.28497252 0.83252922],[1.32831943 0.86340036],[1.37670783 0.88134691],[1.42712078 0.88790372],[1.4764548  0.88651629],[1.52647472 0.87934101],[1.57630816 0.86879485]
60000,[1.17204173 0.74789315],[1.24964735 0.782883  ],[1.2920469  0.83102632],[1.33724489 0.86887074],[1.3883667  0.88648903],[1.43982344 0.89095393],[1.49058144 0.89403296],[1.54106297 0.89574756],[1.59142486 0.89630959]
70000,[1.17204173 0.74789315],[1.24014945 0.79610511],[1.29951708 0.85568777],[1.35076049 0.89065236],[1.40357245 0.89765277],[1.45492095 0.89157131],[1.50520829 0.87933685],[1.55497509 0.86346518],[1.60448422 0.84533137]
80000,[1.17204173 0.74789315],[1.25092953 0.79521464],[1.29870819 0.84445755],[1.34804444 0.87738071],[1.39946896 0.88620052],[1.45040784 0.88291166],[1.50081551 0.86924627],[1.55087468 0.85038052],[1.60088502 0.83127869]
90000,[1.17204173 0.74789315],[1.25891044 0.79320976],[1.29712173 0.84075479],[1.33642324 0.87235572],[1.38671502 0.88689281],[1.43665397 0.88818847],[1.4866591  0.87143497],[1.5365044  0.85453316],[1.5864478  0.83797224]
100000,[1.17204173 0.74789315],[1.2530661 0.7859836],[1.29281268 0.83304542],[1.33433048 0.86855415],[1.37919102 0.88217607],[1.42792315 0.8809336 ],[1.47771973 0.86101254],[1.5277602  0.84059965],[1.57812    0.82570666]
110000,[1.17204173 0.74789315],[1.24640526 0.78294168],[1.2814884  0.82088201],[1.31688471 0.85938947],[1.36035054 0.87969544],[1.40971695 0.88379587],[1.45960741 0.87071707],[1.50935025 0.86281008],[1.55975019 0.84791727]
120000,[1.17204173 0.74789315],[1.25977291 0.78217371],[1.28548506 0.82256018],[1.31555631 0.85679133],[1.35010215 0.88462437],[1.39780842 0.89307987],[1.44696536 0.89135119],[1.49596225 0.88773874],[1.545124  0.8841422]
130000,[1.17204173 0.74789315],[1.25904011 0.79729272],[1.3011103  0.84569063],[1.34096376 0.89481661],[1.39221495 0.92703655],[1.44150118 0.92801129],[1.48986461 0.91797893],[1.53857215 0.90360233],[1.58774923 0.88722165]
140000,[1.17204173 0.74789315],[1.26114851 0.79809293],[1.30651326 0.85031617],[1.35874703 0.89053876],[1.40837127 0.9086139 ],[1.45724065 0.91692021],[1.50615099 0.91583423],[1.55529683 0.90940307],[1.60465516 0.90010156]
150000,[1.17204173 0.74789315],[1.23743104 0.7996867 ],[1.28510159 0.83972253],[1.32722267 0.87025485],[1.36808419 0.88547655],[1.40966657 0.89170978],[1.45478382 0.89075178],[1.50347605 0.88109031],[1.55256385 0.86002077]
160000,[1.17204173 0.74789315],[1.24834649 0.79473459],[1.31382184 0.8502007 ],[1.3638944  0.89078099],[1.41638666 0.91206286],[1.46858921 0.91731551],[1.5189674  0.91043208],[1.56817478 0.89726396],[1.61698464 0.88249792]
170000,[1.17204173 0.74789315],[1.25733151 0.79104822],[1.30005074 0.84064902],[1.34757748 0.87653195],[1.39924323 0.89966774],[1.45065093 0.91065885],[1.50147026 0.91370169],[1.55170874 0.907153  ],[1.60131525 0.89739585]
180000,[1.17204173 0.74789315],[1.24812117 0.79533276],[1.29931867 0.84696174],[1.34597227 0.8811506 ],[1.39603109 0.89892396],[1.44743194 0.90291203],[1.49851785 0.89583011],[1.54896478 0.88210734],[1.59872675 0.86391758]
190000,[1.17204173 0.74789315],[1.24855784 0.7918279 ],[1.29648416 0.84117306],[1.33944355 0.87174006],[1.38743439 0.88594379],[1.43868583 0.88997202],[1.48926693 0.88156172],[1.53925013 0.86535476],[1.58865813 0.84594682]
200000,[1.17204173 0.74789315],[1.24954349 0.79848987],[1.30460269 0.85164621],[1.3579163  0.89516702],[1.41051806 0.91752962],[1.46150341 0.9113229 ],[1.51089234 0.88951699],[1.55952286 0.85865198],[1.60806537 0.82577051]
210000,[1.17204173 0.74789315],[1.2506319  0.79817538],[1.29972343 0.85210819],[1.35112453 0.88923422],[1.40283593 0.91421649],[1.45402991 0.90942678],[1.50408914 0.88477329],[1.55318121 0.85188569],[1.60182179 0.81521634]
220000,[1.17204173 0.74789315],[1.24610602 0.79481366],[1.2839631  0.83848823],[1.32673641 0.86916779],[1.37454958 0.88295858],[1.42429195 0.88224615],[1.47447044 0.87182637],[1.52436711 0.85543413],[1.57375622 0.82980206]
230000,[1.17204173 0.74789315],[1.25851895 0.79555244],[1.29531834 0.83864462],[1.34253596 0.87904185],[1.39199978 0.90511225],[1.4407129  0.89693055],[1.48878912 0.86708494],[1.52964849 0.82472152],[1.54453313 0.77523641]
240000,[1.17204173 0.74789315],[1.25017652 0.79946355],[1.29348199 0.85118407],[1.3443352 0.8939894],[1.39633605 0.90121123],[1.44675785 0.8761073 ],[1.49806182 0.84690846],[1.54712051 0.80991995],[1.59412117 0.76524191]
250000,[1.17204173 0.74789315],[1.24965448 0.79346681],[1.28990353 0.83753212],[1.33630938 0.87387006],[1.38743982 0.88455951],[1.43965081 0.87649285],[1.4915226 0.865627 ],[1.54649488 0.8476382 ],[1.59562403 0.833118  ]
260000,[1.17204173 0.74789315],[1.23191291 0.7920888 ],[1.26830521 0.8392388 ],[1.31395122 0.87515184],[1.3633778  0.88318326],[1.4130948  0.88413055],[1.46669921 0.8675038 ],[1.50196457 0.83566298],[1.52306447 0.79109684]
270000,[1.17204173 0.74789315],[1.25827584 0.79771926],[1.29687988 0.84624703],[1.34721056 0.89175497],[1.39763828 0.92507147],[1.44808642 0.90318107],[1.49609666 0.86330266],[1.54370437 0.81851346],[1.57763671 0.76641251]
