10000,[1.17204173 0.74789315],[1.22423777 0.71532916],[1.27487084 0.66760347],[1.32500639 0.61790004],[1.35796223 0.58164354],[1.36358599 0.5686209 ],[1.36341345 0.56113192],[1.36006334 0.5570808 ],[1.35497658 0.55521787],[1.34897171 0.55478384],[1.34253513 0.55529608],[1.33596804 0.5564331 ],[1.3294625  0.55797247]
20000,[1.17204173 0.74789315],[1.22547829 0.71564737],[1.27756395 0.66750151],[1.32813491 0.61342906],[1.37936118 0.5588961 ],[1.42757674 0.50261355],[1.45826264 0.45711661],[1.4655706  0.42521689],[1.46698082 0.39816766],[1.46391057 0.37515293],[1.45727981 0.35575051],[1.44799991 0.33957053],[1.4366568  0.32618001]
30000,[1.17204173 0.74789315],[1.22573928 0.71568921],[1.2776384  0.66758732],[1.32716583 0.61366516],[1.37877581 0.56072576],[1.42863525 0.50589577],[1.46673031 0.45950583],[1.48025351 0.42947604],[1.48625499 0.40661392],[1.48657778 0.39009714],[1.48199815 0.38031581],[1.47296261 0.37738173],[1.45985186 0.38159568]
40000,[1.17204173 0.74789315],[1.22516291 0.71553182],[1.27747574 0.66765362],[1.32885868 0.61244231],[1.37939812 0.55521216],[1.42670491 0.49860011],[1.47297584 0.44607354],[1.50970532 0.3987008 ]
50000,[1.17204173 0.74789315],[1.22470129 0.71544219],[1.27653956 0.6677003 ],[1.32826007 0.61285881],[1.3785973  0.55425288],[1.42514442 0.49841515],[1.44852447 0.4569456 ],[1.457431   0.42433996],[1.46046699 0.39635551],[1.45852957 0.37257389],[1.4525953  0.35260865],[1.44363464 0.33603382],[1.43257564 0.32237116]
60000,[1.17204173 0.74789315],[1.22366323 0.71530694],[1.27428062 0.66760791],[1.32542    0.61784325],[1.37890522 0.56631182],[1.43044958 0.5090089 ],[1.46316821 0.45973115],[1.46766399 0.42765563],[1.46724366 0.40054466],[1.4632113  0.37723663],[1.45606562 0.35739026],[1.44642014 0.34069792],[1.43494932 0.32679492]
70000,[1.17204173 0.74789315],[1.22454312 0.71539853],[1.27614916 0.66769306],[1.32706632 0.61422636],[1.37924491 0.56019697],[1.42870399 0.50540298],[1.46498073 0.45801152],[1.47451863 0.4264734 ],[1.47757809 0.40070503],[1.47641088 0.37952713],[1.4728527  0.36309794],[1.46675467 0.35194063],[1.4579484 0.3469692]
80000,[1.17204173 0.74789315],[1.22395883 0.71530489],[1.27458111 0.66759811],[1.32521383 0.6178764 ],[1.37672244 0.56787867],[1.42181232 0.52219027],[1.45833761 0.47962831],[1.481003   0.44307506],[1.48831009 0.41502227],[1.48680548 0.39303778],[1.48084271 0.37523794],[1.47214023 0.36073478],[1.46172895 0.34911198]
90000,[1.17204173 0.74789315],[1.22395475 0.71529797],[1.27457293 0.66758892],[1.32509797 0.61788113],[1.37076093 0.57231811],[1.40196399 0.53953168],[1.43047486 0.50763189],[1.45762572 0.47435081],[1.47852032 0.44270188],[1.48932724 0.41286263],[1.48561734 0.38989589],[1.47468657 0.37174497],[1.4612317  0.35645046]
100000,[1.17204173 0.74789315],[1.2240707  0.71529529],[1.27470677 0.66758269],[1.32507938 0.61788142],[1.36663706 0.57547311],[1.39434027 0.54576038],[1.4234776  0.51379145],[1.45422575 0.47764378],[1.47880674 0.44205827],[1.48895727 0.41343723],[1.48563076 0.39027584],[1.47441204 0.3718949 ],[1.46054235 0.3564012 ]
