10000,[1.17204173 0.74789315 0.55890028],[1.23374196 0.78421634 0.59947905],[1.27789226 0.82971647 0.63426655],[1.32474577 0.87882147 0.66737977],[1.36721909 0.9234385  0.70170601],[1.37197231 0.93467672 0.73833664],[1.37227452 0.94151093 0.7723818 ],[1.37025704 0.9457344  0.80353576],[1.36695829 0.94828116 0.83185555],[1.36296409 0.9497085  0.85749878],[1.35862105 0.95036678 0.88066099],[1.35414462 0.95048926 0.90154749],[1.34967388 0.95023881 0.92036081]
20000,[1.17204173 0.74789315 0.55890028],[1.20650074 0.77799193 0.62034112],[1.22016321 0.82294136 0.65167157],[1.23514151 0.8708226  0.67532997],[1.25432358 0.92014458 0.69827527],[1.27610394 0.96994689 0.72154011],[1.29993372 1.01992201 0.74529668],[1.32374442 1.06818704 0.77072116],[1.33103112 1.0971373  0.80611143],[1.33483011 1.12033752 0.84191099],[1.33642424 1.13916456 0.87687929],[1.33648035 1.15443545 0.91037261],[1.3354295  1.16676332 0.94202277]
30000,[1.17204173 0.74789315 0.55890028],[1.21304608 0.79132084 0.59721933],[1.23201699 0.83556876 0.61574588],[1.25818281 0.88379357 0.62403783],[1.29046392 0.933235   0.62863968],[1.31792631 0.97456886 0.63783392],[1.32854304 0.99621346 0.65878909],[1.33618709 1.01301858 0.67909188],[1.34182898 1.02624189 0.6980105 ],[1.34606301 1.0367451  0.71523591],[1.34927941 1.04515321 0.73069911],[1.35174648 1.05192869 0.74445151],[1.35365262 1.0574214  0.75661252]
40000,[1.17204173 0.74789315 0.55890028],[1.21201704 0.78985632 0.57623126],[1.22822135 0.83336185 0.57624052],[1.24820628 0.88149809 0.56745766],[1.27158154 0.93092178 0.55584089],[1.28526812 0.96845617 0.55386073],[1.28574363 0.98920677 0.56396858],[1.28411447 1.00614089 0.57469344],[1.28126039 1.02036679 0.58522489],[1.277723   1.03256643 0.59516163],[1.27381726 1.04318022 0.60433411],[1.26973286 1.05250753 0.61269061],[1.26558847 1.06076297 0.62023915]
50000,[1.17204173 0.74789315 0.55890028],[1.21776023 0.78869839 0.57401961],[1.24010102 0.83213343 0.56862911],[1.26790018 0.88023894 0.55387125],[1.2973203  0.92625975 0.53754289],[1.29946105 0.94120008 0.54171611],[1.29876347 0.95178184 0.54600756],[1.29670817 0.95971656 0.54978526],[1.29402539 0.96592329 0.55282162],[1.29110063 0.97094444 0.55511227],[1.28813036 0.97510992 0.55673182],[1.28519969 0.97863562 0.55777941],[1.28237152 0.98165839 0.55834809]
60000,[1.17204173 0.74789315 0.55890028],[1.23658822 0.78389862 0.59460414],[1.27761931 0.82962328 0.61283909],[1.32282213 0.87837928 0.6110198 ],[1.33711834 0.89969004 0.61706043],[1.33950885 0.90985254 0.62318805],[1.33965676 0.91738763 0.62712336],[1.33854353 0.92316508 0.62933579],[1.33674486 0.92773703 0.63019824],[1.33459689 0.9314517  0.63002962],[1.33229547 0.93453181 0.62908521],[1.32995516 0.93712436 0.62756731],[1.32764326 0.93933028 0.62563563]
70000,[1.17204173 0.74789315 0.55890028],[1.22242677 0.77883215 0.600905  ],[1.26325737 0.83290008 0.61663491],[1.27442584 0.86516505 0.65487342],[1.28169838 0.89484788 0.68739348],[1.28850775 0.92387102 0.70999064],[1.29285977 0.95071971 0.72593234],[1.29443864 0.97522276 0.73733245],[1.29313981 0.99667878 0.74619119],[1.28970089 1.01531424 0.75342622],[1.28504083 1.03164515 0.75914041],[1.27967926 1.04608748 0.76353924],[1.27393953 1.05880416 0.76681025]
80000,[1.17204173 0.74789315 0.55890028],[1.23122469 0.78461998 0.63749321],[1.27334345 0.84098292 0.69370782],[1.31982356 0.89371715 0.74228411],[1.36029688 0.9414291  0.79433423],[1.3781334  0.9781276  0.85548964],[1.38777085 1.00943076 0.915538  ],[1.3905536  1.03564228 0.97287266],[1.38781165 1.05714635 1.02640003],[1.38085315 1.07445552 1.07546916],[1.37092604 1.0881915  1.11980669],[1.35901621 1.09892087 1.15942129],[1.34584996 1.10711236 1.19448606]
90000,[1.17204173 0.74789315 0.55890028],[1.23216498 0.78609151 0.6384    ],[1.27529311 0.84369533 0.69441339],[1.32292622 0.89597024 0.74225715],[1.37273797 0.94590932 0.78770182],[1.42350034 0.99445059 0.83058425],[1.45909642 1.0323034  0.87576628],[1.47290907 1.05242931 0.91990585],[1.4735911  1.06005559 0.95787286],[1.46808781 1.06114015 0.98935456],[1.46123618 1.06024889 1.01572774],[1.45459752 1.0589163  1.03805845],[1.44850048 1.05753586 1.05706794]
100000,[1.17204173 0.74789315 0.55890028],[1.23155109 0.78644788 0.55305105],[1.26619815 0.84003535 0.53613171],[1.27187793 0.87895573 0.5629546 ],[1.2770802  0.9150275  0.57959825],[1.28085572 0.9479989  0.59175212],[1.28265053 0.97753027 0.60150936],[1.28373901 1.00420472 0.60996957],[1.2844571  1.0282278  0.61754834],[1.28462892 1.04976132 0.62464039],[1.28440311 1.06899276 0.63122234],[1.28390023 1.08610758 0.63728355],[1.28321627 1.1012861  0.64282398]
110000,[1.17204173 0.74789315 0.55890028],[1.16964227 0.78699612 0.56605472],[1.16481781 0.84437334 0.53506005],[1.16387948 0.89280997 0.5343426 ],[1.16891356 0.93176805 0.53576481],[1.1773625  0.96198257 0.54213365],[1.18523753 0.97911198 0.55064696],[1.19083981 0.98529259 0.55552196],[1.19482037 0.98786781 0.5562533 ],[1.19767134 0.98862388 0.55467765],[1.19961415 0.98869822 0.55287674],[1.20098167 0.98844841 0.5513468 ],[1.20200022 0.98815226 0.55023979]
120000,[1.17204173 0.74789315 0.55890028],[1.20283299 0.78654706 0.5840644 ],[1.22850595 0.8440418  0.58189828],[1.26133926 0.89430115 0.58852852],[1.28805593 0.93754738 0.61475786],[1.31081574 0.97663973 0.64453646],[1.33274234 1.01311116 0.67532981],[1.35542932 1.04815703 0.70513347],[1.3828992  1.08440172 0.73000412],[1.42333308 1.1268707  0.74088833],[1.47895864 1.17859356 0.7380548 ],[1.53334829 1.22966441 0.73507138],[1.58661793 1.28083556 0.72870707]
130000,[1.17204173 0.74789315 0.55890028],[1.23443314 0.78340734 0.60392531],[1.2809829  0.83670802 0.61849834],[1.32825806 0.88086724 0.59617473],[1.34749317 0.90556188 0.57533723],[1.34197448 0.90875694 0.56282028],[1.33589212 0.91092398 0.55112259],[1.32993726 0.91257528 0.54010452],[1.32423867 0.91386719 0.52978126],[1.31884279 0.9148895  0.52014947],[1.31376881 0.91570402 0.51119172],[1.30902064 0.91635532 0.5028794 ],[1.3045919  0.91687566 0.49517254]
140000,[1.17204173 0.74789315 0.55890028],[1.23466235 0.78361384 0.62844662],[1.28080788 0.83827806 0.67994827],[1.32337716 0.88232291 0.71621344],[1.31703618 0.90430653 0.78596749],[1.34536281 0.95026695 0.83932208],[1.38984014 1.00098851 0.88633379],[1.42249541 1.04439085 0.93708455],[1.44058192 1.0796624  0.99000576],[1.44783208 1.10823298 1.04210473],[1.44755361 1.13139344 1.09136821],[1.44213392 1.15017509 1.13685757],[1.43327422 1.16541253 1.1781935 ]
150000,[1.17204173 0.74789315 0.55890028],[1.23215929 0.7798867  0.62141305],[1.2790874  0.82881381 0.6692934 ],[1.32615005 0.87831515 0.69894499],[1.3545624  0.91139999 0.70895242],[1.35656096 0.9212792  0.70798659],[1.35534218 0.92780548 0.70250968],[1.35265277 0.93244191 0.6944912 ],[1.34928803 0.93590589 0.68488398],[1.34562659 0.93856819 0.67427144],[1.34185148 0.94063049 0.6630589 ],[1.33805419 0.94221246 0.65154776],[1.3342899  0.94339981 0.64002303]
160000,[1.17204173 0.74789315 0.55890028],[1.21231762 0.77965313 0.62142244],[1.25270755 0.82822635 0.67633745],[1.29900121 0.87804345 0.72635995],[1.34071903 0.92198257 0.77504477],[1.34582889 0.93301589 0.81940965],[1.34524115 0.9385358  0.8595057 ],[1.34166205 0.94085234 0.89559696],[1.33648847 0.94123994 0.92807579],[1.33048321 0.94043773 0.95729721],[1.32408485 0.93889763 0.98358576],[1.31755796 0.93691131 1.00723632],[1.31106317 0.93467739 1.02851058]
170000,[1.17204173 0.74789315 0.55890028],[1.14728734 0.78718497 0.59173142],[1.16862872 0.84355104 0.58779215],[1.21746947 0.88122302 0.54997016],[1.26193652 0.92778803 0.51814449],[1.2663795  0.93321029 0.51714412],[1.26798238 0.93572484 0.51815979],[1.26864387 0.93722918 0.51988981],[1.26892466 0.93830419 0.52195023],[1.26905486 0.93919338 0.52418249],[1.26912755 0.93999751 0.52652586],[1.26917618 0.9407565  0.52897585],[1.26921719 0.94149128 0.5315277 ]
180000,[1.17204173 0.74789315 0.55890028],[1.12609838 0.79141424 0.56171468],[1.1321007  0.84819726 0.51940797],[1.18136763 0.88578874 0.4576194 ],[1.21256633 0.91662264 0.41916144],[1.21957107 0.92068369 0.4077128 ],[1.2229891  0.92111698 0.40019273],[1.2248125  0.92004639 0.3945442 ],[1.22585297 0.91837708 0.38995396],[1.22649706 0.91652763 0.38602598],[1.22693548 0.9146909  0.38255078],[1.22726341 0.91295167 0.37941064],[1.22752881 0.91134286 0.37653463]
