10000,[1.17204173 0.74789315],[1.22535464 0.70800748],[1.27339748 0.6609216 ],[1.32549809 0.61142634],[1.37667469 0.56382453],[1.41615444 0.51177766],[1.47629646 0.46569079],[1.4544228  0.41671851],[1.50567931 0.38778861],[1.46089225 0.34999921],[1.46480684 0.35926426],[1.44095548 0.32167499],[1.43564959 0.33662629]
20000,[1.17204173 0.74789315],[1.17060081 0.68555945],[1.11175811 0.64210824],[1.07472007 0.57911981],[1.01651925 0.53895741],[0.97881035 0.47902552],[0.92032462 0.4405955 ],[0.87723344 0.37890291],[0.8196887  0.34737942],[0.77484702 0.28175345],[0.71138522 0.35745077],[0.66526306 0.291568  ],[0.63414478 0.34995171]
30000,[1.17204173 0.74789315],[1.20699776 0.70806266],[1.24266133 0.66087566],[1.2865546  0.61165196],[1.33158188 0.56340309],[1.37402953 0.51401264],[1.36516868 0.5191656 ],[1.37325692 0.49134427],[1.36784366 0.50056864],[1.36656754 0.47643764],[1.37050333 0.48269717],[1.36002843 0.46238385],[1.37147278 0.46581233]
40000,[1.17204173 0.74789315],[1.20080736 0.70805377],[1.24191856 0.6608565 ],[1.2910689  0.61191265],[1.33891306 0.56340257],[1.3692375  0.52798099],[1.35154992 0.53800648],[1.36021955 0.51655309],[1.35342785 0.52493389],[1.35093439 0.50982339],[1.35321355 0.51572468],[1.34317497 0.50431312],[1.35224195 0.50842717]
50000,[1.17204173 0.74789315],[1.2269539  0.70812492],[1.25348571 0.66198057],[1.30464794 0.60390549],[1.33219007 0.56313744],[1.38306857 0.50024552],[1.36037572 0.51248767],[1.40903136 0.44928341],[1.36582691 0.49133765],[1.40942761 0.42986867],[1.37722717 0.46869454],[1.41699597 0.40906137],[1.39098288 0.44718483]
60000,[1.17204173 0.74789315],[1.22563433 0.70815158],[1.27411011 0.66113453],[1.32622924 0.60918025],[1.38276141 0.56373518],[1.40953357 0.51308079],[1.45951336 0.47885453],[1.45236302 0.44144897],[1.44817921 0.46468255],[1.45398163 0.41973266],[1.44455757 0.45275158],[1.44506915 0.41135041],[1.44137764 0.44224759]
70000,[1.17204173 0.74789315],[1.22541298 0.70808287],[1.27659987 0.66191264],[1.32617478 0.60801083],[1.38219817 0.56337348],[1.41592236 0.50728756],[1.47705974 0.46572806],[1.453382   0.43726653],[1.45128264 0.45919012],[1.45563914 0.4150119 ],[1.43157987 0.46093577],[1.44331404 0.41267619],[1.419501   0.46116669]
80000,[1.17204173 0.74789315],[1.16667515 0.70804064],[1.1931043  0.66210333],[1.21868399 0.60772161],[1.25299388 0.56327063],[1.27542563 0.50275239],[1.31523514 0.46192853],[1.33834508 0.40016992],[1.35446612 0.39910992],[1.36332599 0.34978965],[1.36346998 0.37869057],[1.35354659 0.34364046],[1.35801835 0.37015378]
90000,[1.17204173 0.74789315],[1.12566753 0.70803461],[1.0860077  0.66309881],[1.0326652 0.6082843],[1.01076078 0.56252493],[0.98654893 0.50489079],[1.01968311 0.46105002],[1.04503772 0.40192003],[1.10603296 0.35839837],[1.14080018 0.29733668],[1.19828976 0.27771395],[1.23451598 0.21715295],[1.2700767  0.25182091]
100000,[1.17204173 0.74789315],[1.17315159 0.70801851],[1.22549008 0.66229652],[1.27296726 0.60734488],[1.32947134 0.56301062],[1.37243517 0.50214009],[1.43355672 0.46151877],[1.43151269 0.42066749],[1.46759515 0.41084818],[1.44910483 0.37889169],[1.4661384  0.39330528],[1.44603377 0.36481502],[1.46391921 0.37868473]
