10000,[1.17204173 0.74789315],[1.12583523 0.69587813],[1.07362469 0.64860735],[1.0259823  0.59669473],[0.97417348 0.54871784],[0.92606709 0.49708882],[0.87452688 0.44880179],[0.82617525 0.39728647],[0.77585175 0.3481889 ],[0.72814616 0.29331978],[0.67840669 0.2465873 ],[0.62875175 0.19018202],[0.58965102 0.15107147]
20000,[1.17204173 0.74789315],[1.12583456 0.6960523 ],[1.07362537 0.64916374],[1.02598425 0.59810114],[0.97417869 0.55272729],[0.92607472 0.50675479],[0.87453445 0.469992  ],[0.82616667 0.44061307],[0.77484303 0.42913138],[0.72628254 0.42737196],[0.67507294 0.43689373],[0.62636573 0.44903493],[0.57525972 0.4675513 ]
30000,[1.17204173 0.74789315],[1.16527558 0.70994956],[1.16528039 0.67865742],[1.17736946 0.64401915],[1.19108139 0.61442228],[1.21083616 0.58175007],[1.22934428 0.55292813],[1.24852434 0.52015313],[1.26172604 0.48954737],[1.27505125 0.45541513],[1.2717426  0.43025157],[1.26855151 0.40531232],[1.24591984 0.39559175]
40000,[1.17204173 0.74789315],[1.12621572 0.69754603],[1.07648574 0.65234929],[1.04133191 0.60282269],[1.04039464 0.55760168],[1.07681939 0.5091029 ],[1.12184934 0.46441345],[1.17261815 0.41691357],[1.2070428  0.38268247],[1.22459163 0.36092962],[1.21752878 0.35736451],[1.22678532 0.34588433],[1.22315111 0.33872051]
50000,[1.17204173 0.74789315],[1.1667328  0.69713581],[1.18002977 0.65172371],[1.21205763 0.60250947],[1.25077705 0.55864387],[1.29820174 0.5130355 ],[1.32956017 0.48077888],[1.34490221 0.4584317 ],[1.3262108  0.45638447],[1.32931407 0.4464864 ],[1.31956933 0.44092433],[1.31966887 0.43777594],[1.31305478 0.43084911]
60000,[1.17204173 0.74789315],[1.16289244 0.69594958],[1.16498425 0.64877092],[1.19269332 0.59702668],[1.23108816 0.54944782],[1.27896709 0.49843691],[1.31597382 0.45582659],[1.33221111 0.42376641],[1.30987495 0.41544695],[1.31174305 0.39763889],[1.29919184 0.38549445],[1.29759769 0.37611837],[1.28839172 0.36298167]
70000,[1.17204173 0.74789315],[1.17200107 0.6962263 ],[1.17793029 0.65031874],[1.21135965 0.60243432],[1.25572067 0.56420926],[1.30664131 0.5303051 ],[1.33958797 0.51059835],[1.35677845 0.49824364],[1.34024259 0.50197601],[1.34486934 0.49891988],[1.3369005  0.49895367],[1.3381601  0.50096835],[1.33315597 0.49928835]
80000,[1.17204173 0.74789315],[1.13929322 0.69740973],[1.15039967 0.65350792],[1.19635546 0.60885683],[1.24376242 0.57599502],[1.29543388 0.54696176],[1.33733434 0.52972266],[1.35904883 0.52269591],[1.34204644 0.53186461],[1.34882588 0.53153574],[1.34096962 0.53425912],[1.34308458 0.53698928],[1.33833818 0.53617487]
90000,[1.17204173 0.74789315],[1.12584281 0.69886666],[1.07365012 0.65826368],[1.02605913 0.61978677],[0.97443019 0.59333925],[0.92733855 0.5650785 ],[0.88070362 0.54264837],[0.85081747 0.51988137],[0.85114383 0.50098997],[0.88314917 0.48024698],[0.92458412 0.46488646],[0.97339186 0.45083307],[1.0150192  0.44487512]
100000,[1.17204173 0.74789315],[1.12729519 0.74838098],[1.07753132 0.74918038],[1.03666247 0.72728422],[0.99926084 0.69764   ],[0.98123126 0.65771417],[0.99072179 0.61644293],[1.02640197 0.57043527],[1.06954757 0.52623056],[1.11667789 0.4796555 ],[1.14365969 0.44898559],[1.16558761 0.4218464 ],[1.17539273 0.40414011]
