10000,[1.17204173 0.74789315],[1.21610583 0.79578919],[1.23954136 0.85167713],[1.27404002 0.90001945],[1.30990326 0.95199443],[1.35676398 1.0006938 ],[1.40277418 1.05291421],[1.45325346 1.1016824 ],[1.46927392 1.14134322],[1.51660803 1.18768001]
20000,[1.17204173 0.74789315],[1.2174648  0.69564815],[1.25242852 0.63494595],[1.29883213 0.57873459],[1.34706228 0.53038152],[1.39855657 0.47899675],[1.42283248 0.44095794],[1.42828245 0.41144863],[1.40306368 0.39863939],[1.3930431  0.38321536],[1.3753335  0.36870386],[1.36373441 0.36014938],[1.34859346 0.34624571]
30000,[1.17204173 0.74789315],[1.21748704 0.69565116],[1.25244986 0.63493327],[1.29886634 0.57872653],[1.34710461 0.53037358],[1.39860512 0.47898933],[1.42285696 0.4409622 ],[1.42829566 0.41146009],[1.4030828  0.39864647],[1.39305998 0.38322525],[1.37535187 0.36871199],[1.36375258 0.36015908],[1.34861204 0.34625448]
40000,[1.17204173 0.74789315],[1.22544427 0.79577542],[1.25430398 0.85679377],[1.3053258  0.90552982],[1.34649105 0.96086244],[1.39710764 1.01001481],[1.44460445 1.05988733],[1.45343379 1.08900458],[1.43498768 1.10459021],[1.42457075 1.12301616],[1.41040359 1.1340384 ],[1.39604101 1.14908966],[1.38390103 1.15517114]
50000,[1.17204173 0.74789315],[1.21748611 0.69565139],[1.25244962 0.63493392],[1.298866   0.57872701],[1.34710451 0.53037404],[1.3986052  0.47898973],[1.42285709 0.44096261],[1.42829593 0.41146041],[1.40308303 0.39864681],[1.39306027 0.38322554],[1.37535215 0.36871228],[1.36375288 0.36015935],[1.34861235 0.34625474]
60000,[1.17204173 0.74789315],[1.22544428 0.79577541],[1.25430406 0.85679381],[1.30532593 0.90552986],[1.34657512 0.96091616],[1.39717528 1.01008141],[1.42787497 1.05287356],[1.42466181 1.07661197],[1.4104835  1.09358323],[1.40329309 1.11398479],[1.39591326 1.12852632],[1.38921513 1.14764164],[1.38511814 1.15929204]
70000,[1.17204173 0.74789315],[1.22544466 0.79577567],[1.25428626 0.85676847],[1.30531899 0.90550525],[1.34617654 0.96095256],[1.39668738 1.0100579 ],[1.4398033  1.05805692],[1.4419989  1.08405717],[1.42079204 1.0978861 ],[1.40853495 1.11558226],[1.39348796 1.12552334],[1.37865055 1.14060973],[1.36663221 1.14602082]
80000,[1.17204173 0.74789315],[1.22544428 0.79577541],[1.25430398 0.85679368],[1.305326   0.90552973],[1.34639291 0.96081767],[1.3969982 1.0099672],[1.44456279 1.05986874],[1.45393595 1.08925185],[1.43618718 1.10520718],[1.42602019 1.1237423 ],[1.4119619  1.13487298],[1.39743737 1.1498004 ],[1.38495491 1.15570947]
90000,[1.17204173 0.74789315],[1.22544428 0.79577541],[1.25430408 0.85679381],[1.30532596 0.90552986],[1.34649188 0.96086017],[1.39710869 1.01001232],[1.44457947 1.05987268],[1.45317875 1.08887861],[1.43445691 1.10431686],[1.42383449 1.12264443],[1.40943339 1.13350574],[1.39475059 1.14839551],[1.38224396 1.15418328]
100000,[1.17204173 0.74789315],[1.21750014 0.69588073],[1.25231574 0.63515825],[1.29874579 0.57903361],[1.34698442 0.53068599],[1.3984854  0.47929956],[1.42287712 0.44120489],[1.42839921 0.41164186],[1.40314725 0.39883202],[1.39313822 0.38337815],[1.37541982 0.36885843],[1.36381845 0.3602842 ],[1.34867422 0.34637167]
110000,[1.17204173 0.74789315],[1.22544428 0.79577541],[1.25428627 0.8567707 ],[1.30533595 0.90550549],[1.34637363 0.96128383],[1.39686905 1.01038739],[1.42627435 1.05252187],[1.42033361 1.07493046],[1.40148211 1.08929257],[1.38812219 1.10675147],[1.3743225  1.11661208],[1.36008175 1.13236775],[1.34945255 1.13777498]
120000,[1.17204173 0.74789315],[1.22544428 0.79577541],[1.25430408 0.85679381],[1.3053285  0.90552979],[1.34625443 0.96103594],[1.39676419 1.01014017],[1.4401516  1.05825223],[1.44255132 1.08434032],[1.42135101 1.09818539],[1.40913452 1.11588951],[1.39407893 1.1258447 ],[1.37923152 1.14091176],[1.36718204 1.14632644]
130000,[1.17204173 0.74789315],[1.22544428 0.79577541],[1.25430408 0.85679381],[1.30532595 0.90552986],[1.34608706 0.96069563],[1.3966441  1.00981868],[1.44372685 1.05950836],[1.45019923 1.08749503],[1.42997656 1.10209077],[1.41857948 1.12008555],[1.40369855 1.13049945],[1.38883108 1.14539026],[1.37639577 1.15098955]
