10000,[1.17204173 0.74789315],[1.15240543 0.70754862],[1.11170858 0.6650548 ],[1.07817489 0.61685305],[1.05271856 0.56741368],[1.03526669 0.51779289],[1.02655759 0.46826564],[1.02631333 0.42028883],[1.03155674 0.38600917],[1.03719907 0.37396251],[1.04283748 0.37055612],[1.0487738  0.37055856],[1.05483311 0.37283774]
20000,[1.17204173 0.74789315],[1.15405248 0.70299025],[1.13141625 0.6499428 ],[1.12572386 0.60235816],[1.12236333 0.54975491],[1.13498142 0.50123047],[1.15292771 0.44919614],[1.18481008 0.39937436],[1.21963835 0.34758816],[1.26353919 0.29572532],[1.29152271 0.26564541],[1.29675672 0.2549706 ],[1.30101881 0.25120515]
30000,[1.17204173 0.74789315],[1.18290818 0.69543057],[1.19634446 0.64619062],[1.24480505 0.59496466],[1.27875408 0.5471271 ],[1.33915564 0.49557438],[1.35684669 0.46108761],[1.41911478 0.40920053],[1.35683624 0.43212188],[1.40929503 0.38945049],[1.35562295 0.41190748],[1.38319803 0.39524479],[1.35189875 0.40060383]
40000,[1.17204173 0.74789315],[1.20506341 0.67492639],[1.21747404 0.61995523],[1.27872342 0.5754361 ],[1.31377285 0.51969722],[1.378732   0.47438117],[1.3929212  0.42799901],[1.45654364 0.38328951],[1.39681864 0.37417356],[1.41540709 0.37577695],[1.38369696 0.35451347],[1.39422173 0.36590767],[1.36934027 0.34434237]
50000,[1.17204173 0.74789315],[1.195505   0.68242697],[1.19492158 0.63040538],[1.23682959 0.58041371],[1.26577938 0.53242415],[1.32611649 0.48151379],[1.36164778 0.43162174],[1.42103147 0.37998508],[1.38011653 0.37395507],[1.40766334 0.35607677],[1.37170837 0.34385843],[1.3792973  0.34955416],[1.35596096 0.33201557]
60000,[1.17204173 0.74789315],[1.20317671 0.66728442],[1.19671389 0.61622362],[1.21956979 0.56939163],[1.22596797 0.51400494],[1.28870279 0.46489367],[1.30848952 0.41750924],[1.35438534 0.39958098],[1.32211251 0.38966829],[1.34518212 0.40754061],[1.32726977 0.38559028],[1.34908374 0.40570906],[1.33107229 0.38296533]
70000,[1.17204173 0.74789315],[1.15320411 0.69631569],[1.13288403 0.65015102],[1.12556732 0.59681158],[1.12941894 0.55195359],[1.14572733 0.49750959],[1.16954221 0.4570071 ],[1.21410279 0.40028984],[1.16989668 0.44572288],[1.21154928 0.38474574],[1.14407467 0.47099425],[1.17414344 0.40776178],[1.12788383 0.48131621]
80000,[1.17204173 0.74789315],[1.16075975 0.69582096],[1.15770139 0.64855234],[1.17057999 0.59651007],[1.1973401  0.54841365],[1.23984503 0.49679422],[1.28541522 0.44831035],[1.33624537 0.39705663],[1.34925766 0.36993304],[1.35207273 0.34975264],[1.33237505 0.3442228 ],[1.326499   0.33516057],[1.3130462  0.32648854]
90000,[1.17204173 0.74789315],[1.20862086 0.69403469],[1.22166583 0.63619266],[1.26878031 0.58765035],[1.30749476 0.53677678],[1.36517907 0.48820517],[1.39658257 0.44254204],[1.45434758 0.3938242 ],[1.39910657 0.39808018],[1.41205285 0.37977485],[1.38379297 0.37228949],[1.38345032 0.36766996],[1.36510479 0.35482184]
100000,[1.17204173 0.74789315],[1.17514642 0.69581894],[1.17659044 0.64854235],[1.18570105 0.59650277],[1.1968364  0.54841141],[1.22501346 0.49677698],[1.26399985 0.44824648],[1.31227586 0.39698468],[1.33615676 0.36370488],[1.34639422 0.34034662],[1.32441436 0.34108904],[1.31947682 0.33040821],[1.30773252 0.32560821]
