10000,[1.17204173 0.74789315 0.55890028],[1.22514221 0.71575353 0.56842445],[1.26882982 0.66438115 0.57120185],[1.31113244 0.6124011  0.56616803],[1.34944981 0.56452759 0.56193291],[1.36338622 0.53773077 0.58095795],[1.37288931 0.51504745 0.60088733],[1.37942672 0.4953329  0.62035613],[1.3838805  0.47787169 0.63869074],[1.38681049 0.46220274 0.65559702],[1.38858732 0.44801838 0.67098636],[1.38946871 0.43510314 0.68487775],[1.38964302 0.4232977  0.697344  ]
20000,[1.17204173 0.74789315 0.55890028],[1.21656009 0.71111643 0.61830033],[1.24503935 0.65508858 0.66438954],[1.27670157 0.6017293  0.70203872],[1.31103549 0.55026948 0.73770082],[1.34706138 0.49958469 0.7727973 ],[1.38422554 0.44925975 0.80775506],[1.40704443 0.40811748 0.85004696],[1.41716788 0.37597988 0.89572597],[1.42191476 0.3488176  0.9399852 ],[1.42269907 0.32588264 0.98165394],[1.42054354 0.30656137 1.02009179],[1.41628378 0.29032804 1.0549812 ]
30000,[1.17204173 0.74789315 0.55890028],[1.13077984 0.73691726 0.61876071],[1.13359444 0.68961893 0.65321908],[1.13880925 0.64139218 0.675921  ],[1.14013473 0.59658524 0.70221361],[1.13952262 0.55422685 0.73212051],[1.13780378 0.51401329 0.76506723],[1.13348098 0.47803764 0.80324719],[1.12298746 0.44928387 0.84890261],[1.11144089 0.42463901 0.89636339],[1.10509847 0.39755646 0.94204544],[1.10215811 0.36742388 0.98732555],[1.09893238 0.33749793 1.03306476]
40000,[1.17204173 0.74789315 0.55890028],[1.23326891 0.70939365 0.56303902],[1.29238481 0.634731   0.53989121],[1.33937143 0.57918657 0.51949825],[1.38609937 0.52686771 0.50708588],[1.43307944 0.47550241 0.50246759],[1.48016049 0.42443749 0.5058902 ],[1.51250339 0.36862128 0.51921979]
50000,[1.17204173 0.74789315 0.55890028],[1.19169135 0.71163372 0.55225769],[1.24780029 0.61531961 0.50403567],[1.28105869 0.56114416 0.47634202],[1.31921424 0.51101672 0.46060728],[1.36099986 0.46289137 0.4577148 ],[1.40563221 0.41589683 0.46852958],[1.45239034 0.36877631 0.49200165],[1.50035665 0.32021104 0.52525508]
60000,[1.17204173 0.74789315 0.55890028],[1.22438727 0.71250046 0.54411937],[1.28270705 0.64958068 0.49713757],[1.33542962 0.59532399 0.44769677],[1.38672455 0.54464857 0.40129963],[1.43753346 0.49535673 0.35838955],[1.4802676  0.44785408 0.32093592],[1.48488341 0.41028257 0.29150895],[1.48306943 0.37928473 0.27567212],[1.48259281 0.35322283 0.27176547],[1.48264104 0.32862679 0.27287048],[1.48266004 0.30360307 0.27661102],[1.4823887  0.27563547 0.28200603]
70000,[1.17204173 0.74789315 0.55890028],[1.21237761 0.71101712 0.5490442 ],[1.28299936 0.61121731 0.52098722],[1.33008408 0.5568319  0.50124532],[1.3787416  0.50609173 0.49263535],[1.42810154 0.45584799 0.4974464 ],[1.47775024 0.40572208 0.51601704],[1.52745843 0.3556085  0.54580246]
80000,[1.17204173 0.74789315 0.55890028],[1.22768766 0.71643946 0.53699887],[1.28711215 0.65792861 0.48582662],[1.33771529 0.60493811 0.43852122],[1.38733252 0.55437933 0.39607547],[1.43691149 0.50451946 0.35721685],[1.47800687 0.45787937 0.32487306],[1.48110612 0.43447012 0.32710461],[1.48201654 0.41178242 0.32998923],[1.48269684 0.38873697 0.33488239],[1.48365957 0.36207021 0.33915327],[1.48436963 0.33217382 0.34409098],[1.48462434 0.30223442 0.35392995]
90000,[1.17204173 0.74789315 0.55890028],[1.19158217 0.71486791 0.54955575],[1.21459064 0.65423903 0.51206695],[1.25419    0.60152122 0.47960618],[1.30086553 0.55095632 0.450645  ],[1.34974185 0.50038646 0.4222241 ],[1.39925519 0.44989654 0.39408254],[1.44887735 0.39935264 0.36281999],[1.48105884 0.35180296 0.33066664],[1.48461231 0.3120004  0.30215326],[1.48487723 0.27341085 0.27319199],[1.48192737 0.2477746  0.25580404],[1.48138442 0.21990689 0.23650601]
100000,[1.17204173 0.74789315 0.55890028],[1.17067218 0.71455907 0.56852267],[1.17078618 0.65399895 0.55054915],[1.19180419 0.60171313 0.54271175],[1.22815505 0.55271191 0.54628038],[1.27233232 0.50440184 0.5551541 ],[1.31961379 0.45525808 0.56539199],[1.36840239 0.40214106 0.57728853],[1.41824421 0.3472899  0.59285433],[1.46802046 0.29292041 0.60084304],[1.51718551 0.23939394 0.59937952]
