10000,[1.17204173 0.74789315 0.55890028],[1.22423777 0.71532916 0.61888726],[1.27487084 0.66760347 0.67507038],[1.32500639 0.61790004 0.7271097 ],[1.35796223 0.58164354 0.7778271 ],[1.36358599 0.5686209  0.82513542],[1.36341345 0.56113192 0.86820549],[1.36006334 0.5570808  0.90706884],[1.35497658 0.55521787 0.94198131],[1.34897171 0.55478384 0.97326608],[1.34253513 0.55529608 1.0012563 ],[1.33596804 0.5564331  1.02627374],[1.3294625  0.55797247 1.04862068]
20000,[1.17204173 0.74789315 0.55890028],[1.22547829 0.71564737 0.61952349],[1.27756395 0.66750151 0.6779626 ],[1.32813491 0.61342906 0.73324724],[1.37936118 0.5588961  0.78962222],[1.42757674 0.50261355 0.84432105],[1.45826264 0.45711661 0.90163434],[1.4655706  0.42521689 0.96204928],[1.46698082 0.39816766 1.01910387],[1.46391057 0.37515293 1.07211145],[1.45727981 0.35575051 1.12069242],[1.44799991 0.33957053 1.16469997],[1.4366568  0.32618001 1.20417346]
30000,[1.17204173 0.74789315 0.55890028],[1.22573928 0.71568921 0.61965615],[1.2776384  0.66758732 0.67775571],[1.32716583 0.61366516 0.73194247],[1.37877581 0.56072576 0.78708815],[1.42863525 0.50589577 0.84191457],[1.46673031 0.45950583 0.89734551],[1.48025351 0.42947604 0.95620551],[1.48625499 0.40661392 1.01186945],[1.48657778 0.39009714 1.0631666 ],[1.48199815 0.38031581 1.10899284],[1.47296261 0.37738173 1.14849519],[1.45985186 0.38159568 1.18079993]
40000,[1.17204173 0.74789315 0.55890028],[1.22516291 0.71553182 0.61927843],[1.27747574 0.66765362 0.6772813 ],[1.32885868 0.61244231 0.73379337],[1.37939812 0.55521216 0.79183157],[1.42670491 0.49860011 0.84507095],[1.47297584 0.44607354 0.8963796 ],[1.50970532 0.3987008  0.94918466]
50000,[1.17204173 0.74789315 0.55890028],[1.22470129 0.71544219 0.61910447],[1.27653956 0.6677003  0.6765345 ],[1.32826007 0.61285881 0.73320392],[1.3785973  0.55425288 0.79283878],[1.42514442 0.49841515 0.84559933],[1.44852447 0.4569456  0.90458136],[1.457431   0.42433996 0.9643257 ],[1.46046699 0.39635551 1.02099718],[1.45852957 0.37257389 1.0738128 ],[1.4525953  0.35260865 1.12228407],[1.44363464 0.33603382 1.16620101],[1.43257564 0.32237116 1.20558989]
60000,[1.17204173 0.74789315 0.55890028],[1.22366323 0.71530694 0.61886226],[1.27428062 0.66760791 0.67517554],[1.32542    0.61784325 0.72831423],[1.37890522 0.56631182 0.78389846],[1.43044958 0.5090089  0.84291182],[1.46316821 0.45973115 0.90143288],[1.46766399 0.42765563 0.9626271 ],[1.46724366 0.40054466 1.0198776 ],[1.4632113  0.37723663 1.07288624],[1.45606562 0.35739026 1.12142641],[1.44642014 0.34069792 1.16539503],[1.43494932 0.32679492 1.20484948]
70000,[1.17204173 0.74789315 0.55890028],[1.22454312 0.71539853 0.61902619],[1.27614916 0.66769306 0.67617151],[1.32706632 0.61422636 0.73155323],[1.37924491 0.56019697 0.78835357],[1.42870399 0.50540298 0.84273559],[1.46498073 0.45801152 0.89902978],[1.47451863 0.4264734  0.95926385],[1.47757809 0.40070503 1.01615276],[1.47641088 0.37952713 1.06893789],[1.4728527  0.36309794 1.11700673],[1.46675467 0.35194063 1.15991226],[1.4579484  0.3469692  1.19694852]
80000,[1.17204173 0.74789315 0.55890028],[1.22395883 0.71530489 0.61885901],[1.27458111 0.66759811 0.67511381],[1.32521383 0.6178764  0.72772205],[1.37672244 0.56787867 0.78069925],[1.42181232 0.52219027 0.83692156],[1.45833761 0.47962831 0.89468015],[1.481003   0.44307506 0.95330139],[1.48831009 0.41502227 1.01033858],[1.48680548 0.39303778 1.06360181],[1.48084271 0.37523794 1.11236555],[1.47214023 0.36073478 1.15651087],[1.46172895 0.34911198 1.19608113]
90000,[1.17204173 0.74789315 0.55890028],[1.22395475 0.71529797 0.61884806],[1.27457293 0.66758892 0.67505736],[1.32509797 0.61788113 0.72749509],[1.37076093 0.57231811 0.7796263 ],[1.40196399 0.53953168 0.83413181],[1.43047486 0.50763189 0.88878331],[1.45762572 0.47435081 0.94387103],[1.47852032 0.44270188 0.99869936],[1.48932724 0.41286263 1.0529588 ],[1.48561734 0.38989589 1.10352567],[1.47468657 0.37174497 1.14915524],[1.4612317  0.35645046 1.1900666 ]
100000,[1.17204173 0.74789315 0.55890028],[1.2240707  0.71529529 0.61884385],[1.27470677 0.66758269 0.67502085],[1.32507938 0.61788142 0.72727605],[1.36663706 0.57547311 0.7791506 ],[1.39434027 0.54576038 0.83269632],[1.4234776  0.51379145 0.88691247],[1.45422575 0.47764378 0.94219743],[1.47880674 0.44205827 0.99780981],[1.48895727 0.41343723 1.05170695],[1.48563076 0.39027584 1.1023903 ],[1.47441204 0.3718949  1.14817839],[1.46054235 0.3564012  1.18920017]
