10000,[1.17204173 0.74789315 0.55890028],[1.23476186 0.7930474  0.5413126 ],[1.27551897 0.84691611 0.50468293],[1.29846979 0.89391402 0.49509886],[1.29048707 0.92740881 0.53167664],[1.28165797 0.95532286 0.56184273],[1.27368273 0.97925561 0.58692751],[1.26665404 0.99989698 0.60857815],[1.25935762 1.01711024 0.62755317],[1.25189986 1.03136388 0.64391084],[1.24461199 1.04315596 0.65798615],[1.23772073 1.052913   0.67008554],[1.231386   1.06105076 0.68036938]
20000,[1.17204173 0.74789315 0.55890028],[1.22799377 0.79610825 0.50887175],[1.27948012 0.84131082 0.46007612],[1.32924188 0.88632695 0.41247236],[1.37614154 0.92995042 0.36808501],[1.34160078 0.9056573  0.37945063],[1.3311685  0.90355421 0.37252241],[1.3232807  0.90309418 0.36515253],[1.3162183  0.90273538 0.35867774],[1.3097615  0.90232999 0.35313775],[1.30396204 0.90198988 0.34829919],[1.29876682 0.90172125 0.34404903],[1.29411235 0.90151403 0.34030579]
30000,[1.17204173 0.74789315 0.55890028],[1.22403567 0.78193941 0.51663838],[1.27501045 0.82831414 0.47424176],[1.30545653 0.86016467 0.44613321],[1.31122071 0.87023992 0.44421342],[1.31448755 0.87817421 0.44614707],[1.31678846 0.88493581 0.44984323],[1.31866424 0.89097624 0.4542863 ],[1.32034255 0.89652739 0.45898765],[1.32192246 0.90171354 0.46370703],[1.32344593 0.90660527 0.46832726],[1.32492873 0.91124571 0.4727928 ],[1.32637477 0.9156637  0.47707912]
40000,[1.17204173 0.74789315 0.55890028],[1.22385157 0.78058965 0.5186805 ],[1.27433505 0.82815458 0.47492739],[1.29752697 0.8565826  0.44484753],[1.296958   0.86489621 0.43179474],[1.29353574 0.87009375 0.42199661],[1.28904514 0.87363294 0.41413575],[1.28428623 0.87624643 0.40752674],[1.27962704 0.87831455 0.40178988],[1.27522885 0.88003802 0.39670471],[1.27115307 0.88152563 0.39213508],[1.26741323 0.8828388  0.38799054],[1.2640004  0.88401418 0.38420641]
50000,[1.17204173 0.74789315 0.55890028],[1.22406948 0.78045195 0.51890106],[1.27459182 0.82811113 0.47514708],[1.29847694 0.85700726 0.44485359],[1.29831702 0.86538525 0.43215293],[1.29530352 0.87062107 0.42277024],[1.29121834 0.87418441 0.41535062],[1.28685425 0.87681166 0.40918828],[1.28257673 0.8788865  0.40389174],[1.27854643 0.88061226 0.39923381],[1.27482483 0.88209958 0.39507472],[1.2714257  0.88341102 0.39132234],[1.26834036 0.88458393 0.38791141]
60000,[1.17204173 0.74789315 0.55890028],[1.22401092 0.78045216 0.51890622],[1.27450371 0.82811551 0.47512581],[1.29785149 0.85669107 0.44495396],[1.29729898 0.86499    0.43197058],[1.29389666 0.87017274 0.42223332],[1.28942939 0.87370155 0.41442295],[1.28469531 0.87630801 0.40785668],[1.28006113 0.87837117 0.40215695],[1.2756874  0.88009097 0.3971047 ],[1.27163518 0.88157568 0.39256467],[1.26791785 0.88288645 0.38844702],[1.26452645 0.88405976 0.3846875 ]
70000,[1.17204173 0.74789315 0.55890028],[1.22400071 0.78045238 0.51890682],[1.27448911 0.82811633 0.475122  ],[1.29775912 0.85664502 0.44496759],[1.29715614 0.86493623 0.43194267],[1.29370248 0.87011375 0.42215567],[1.28918384 0.87363923 0.41429152],[1.28439933 0.87624387 0.40767003],[1.27971599 0.87830629 0.40191521],[1.27529449 0.88002602 0.39680893],[1.27119589 0.88151113 0.39221647],[1.26743356 0.88282256 0.38804829],[1.26399857 0.8839967  0.38424025]
80000,[1.17204173 0.74789315 0.55890028],[1.22400085 0.78045211 0.51890729],[1.27448932 0.82811624 0.47512248],[1.29775875 0.85664464 0.44496823],[1.2971554  0.86493578 0.43194309],[1.2937013  0.87011324 0.42215577],[1.28918223 0.87363868 0.41429123],[1.28439728 0.87624328 0.40766933],[1.27971352 0.87830568 0.40191408],[1.2752916  0.88002541 0.39680737],[1.27119258 0.8815105  0.39221449],[1.26742985 0.88282193 0.38804588],[1.26399446 0.88399608 0.38423742]
90000,[1.17204173 0.74789315 0.55890028],[1.22400083 0.7804521  0.51890731],[1.2744893  0.82811624 0.4751225 ],[1.29775857 0.85664452 0.44496833],[1.29715517 0.86493568 0.43194314],[1.29370104 0.87011314 0.42215576],[1.28918193 0.87363858 0.41429116],[1.28439694 0.8762432  0.40766919],[1.27971314 0.8783056  0.40191388],[1.27529116 0.88002532 0.39680712],[1.2711921  0.88151042 0.39221419],[1.26742932 0.88282185 0.38804553],[1.26399388 0.88399599 0.38423703]
100000,[1.17204173 0.74789315 0.55890028],[1.22400083 0.7804521  0.51890731],[1.2744893  0.82811624 0.4751225 ],[1.29775856 0.85664452 0.44496833],[1.29715516 0.86493567 0.43194314],[1.29370103 0.87011313 0.42215576],[1.2891819  0.87363858 0.41429115],[1.2843969  0.87624318 0.40766918],[1.27971308 0.87830558 0.40191387],[1.2752911  0.88002531 0.3968071 ],[1.27119203 0.88151041 0.39221416],[1.26742925 0.88282184 0.38804549],[1.26399381 0.88399598 0.38423698]
