10000,[1.17204173 0.74789315 0.55890028],[1.1886347  0.71017607 0.55170083],[1.19890904 0.66452329 0.54696105],[1.20660115 0.61570623 0.53953288],[1.21353105 0.56604567 0.52993897],[1.22025932 0.51624505 0.51911733],[1.22689977 0.46652165 0.50771671],[1.22332041 0.43420906 0.50762374],[1.21203116 0.41694959 0.51634232],[1.19991399 0.40277377 0.52581264],[1.1874794  0.39084611 0.53550137],[1.17501806 0.38060902 0.54510743],[1.16271082 0.37166563 0.55444998]
20000,[1.17204173 0.74789315 0.55890028],[1.15400703 0.68476721 0.60147929],[1.15192114 0.63252022 0.63904948],[1.18813315 0.59920054 0.68011158],[1.23010951 0.55575315 0.70349458],[1.24692396 0.50658497 0.72640149],[1.2704405  0.4564429  0.74285324],[1.29981928 0.40585767 0.75222484],[1.33392667 0.35514435 0.75509096],[1.37179537 0.30445504 0.75241023],[1.41259968 0.25386444 0.74504529],[1.45566558 0.20340896 0.73382838],[1.50034646 0.15307058 0.71951998]
30000,[1.17204173 0.74789315 0.55890028],[1.14248252 0.68003778 0.58727636],[1.11545619 0.63006    0.60576753],[1.09195314 0.58171479 0.61348749],[1.07383458 0.53277503 0.61574277],[1.06227976 0.48339365 0.61518476],[1.05805878 0.43381901 0.61320327],[1.06173953 0.38417712 0.61058183],[1.07351576 0.3345538  0.60810601],[1.09315773 0.2850025  0.60639868],[1.11989409 0.2355638  0.60580503],[1.15268413 0.18622487 0.60655414],[1.1906801  0.13731629 0.60832636]
40000,[1.17204173 0.74789315 0.55890028],[1.13621014 0.6798171  0.55194477],[1.10672412 0.62805477 0.54199027],[1.08177603 0.57840095 0.52762963],[1.06228574 0.52878084 0.51257899],[1.0493234  0.47912281 0.4984131 ],[1.04772641 0.43412076 0.48809165],[1.06613079 0.40087803 0.4851757 ],[1.08964281 0.36872999 0.48270862],[1.11672103 0.33001211 0.47440591],[1.13893917 0.28674891 0.46765593],[1.1654504  0.25802425 0.45317502],[1.17008893 0.20870901 0.48296603]
50000,[1.17204173 0.74789315 0.55890028],[1.203689   0.6799806  0.53703364],[1.23890106 0.62909628 0.51925013],[1.27738999 0.58033331 0.50332017],[1.31884905 0.531775   0.49268609],[1.36282473 0.48353404 0.48876879],[1.40868503 0.43593023 0.49246077],[1.45565854 0.38930606 0.50518415],[1.50270542 0.34347372 0.52640127],[1.54919832 0.29775462 0.55512512],[1.5725374  0.27077668 0.58975071],[1.54841608 0.28409958 0.62075561],[1.53393555 0.2891564  0.64752126]
60000,[1.17204173 0.74789315 0.55890028],[1.17234335 0.69541725 0.6037679 ],[1.15809023 0.65366499 0.65103918],[1.14133234 0.60963    0.69865483],[1.12273531 0.56389935 0.74760812],[1.10370129 0.51709611 0.79752942],[1.0843326  0.46982554 0.84800419],[1.06396891 0.42254977 0.8987707 ],[1.04280589 0.38111393 0.94667443],[1.01923563 0.37141495 0.98242034],[0.99538796 0.37471068 1.01365345],[0.97105197 0.38102629 1.04351648],[0.94602349 0.38878176 1.07197203]
70000,[1.17204173 0.74789315 0.55890028],[1.21668561 0.69726862 0.59607127],[1.25466148 0.6534432  0.64693297],[1.29366845 0.60639269 0.69564086],[1.33520175 0.55796334 0.74389346],[1.37901653 0.50896818 0.79246888],[1.42148306 0.46268108 0.83992355],[1.41991145 0.45760962 0.85993878],[1.41511023 0.45618289 0.87588781],[1.40905154 0.45651579 0.88919042],[1.40273166 0.45760557 0.90063554],[1.39658731 0.45898049 0.910683  ],[1.3908046  0.4604139  0.91961938]
80000,[1.17204173 0.74789315 0.55890028],[1.12899343 0.67974427 0.52148078],[1.08212513 0.62854493 0.47990787],[1.05207871 0.59019839 0.44747676],[1.04706298 0.57399145 0.43993284],[1.04638818 0.56169038 0.44047151],[1.04844434 0.55046998 0.4415433 ],[1.05321832 0.53710389 0.44349895],[1.05918871 0.52213961 0.44610628],[1.06626488 0.50459752 0.4494563 ],[1.07454326 0.4854224  0.45173527],[1.08214715 0.46316025 0.45485161],[1.08832108 0.437664   0.45882533]
90000,[1.17204173 0.74789315 0.55890028],[1.20844746 0.68883561 0.69386572],[1.15731691 0.6555032  0.71147579],[1.10276066 0.61044038 0.71888991],[1.05011888 0.56207939 0.72116174],[0.99882532 0.51272894 0.71711206],[0.948266   0.46310288 0.70668167],[0.89808891 0.41362577 0.68944077],[0.84816893 0.36531603 0.66571084],[0.8028419  0.33292853 0.63274194],[0.76179314 0.31482998 0.59683502],[0.72446714 0.30554099 0.56209605],[0.69212023 0.30003996 0.53047799]
100000,[1.17204173 0.74789315 0.55890028],[1.15619736 0.70493217 0.56491685],[1.13781019 0.66084281 0.5649214 ],[1.12310386 0.61551805 0.55923265],[1.11248106 0.57009824 0.54850317],[1.1051302  0.52486966 0.5345337 ],[1.10128352 0.47977725 0.5174832 ],[1.10069874 0.43481061 0.49817122],[1.1036167  0.3899209  0.47669324],[1.10955797 0.34509001 0.45398978],[1.11880604 0.30026686 0.42995362],[1.13106201 0.25543096 0.40514232],[1.14656282 0.21056291 0.37938195]
110000,[1.17204173 0.74789315 0.55890028],[1.22566558 0.69308247 0.51424103],[1.27001942 0.64643448 0.46829959],[1.31283371 0.60179218 0.42235298],[1.35362322 0.55738354 0.37692871],[1.38955808 0.51436647 0.33327375],[1.39469339 0.49597037 0.3173593 ],[1.37051244 0.5032851  0.32351106],[1.35787054 0.50135951 0.32159818],[1.34813069 0.49727444 0.31805614],[1.33907785 0.49293708 0.3144209 ],[1.33034533 0.4886289  0.31091712],[1.32185534 0.48439092 0.30757631]
120000,[1.17204173 0.74789315 0.55890028],[1.16505578 0.68493808 0.52926558],[1.16081776 0.6535462  0.5250519 ],[1.188292  0.6471392 0.537537 ],[1.21336504 0.63112966 0.5344923 ],[1.24770957 0.61266742 0.51482771],[1.27324176 0.57234464 0.47395573],[1.29366614 0.5271132  0.42378996],[1.31516498 0.48438496 0.37715205],[1.33921717 0.43874674 0.3424482 ],[1.36951787 0.39076803 0.31589741],[1.39621353 0.35005453 0.29951549],[1.39660133 0.33573682 0.29909351]
130000,[1.17204173 0.74789315 0.55890028],[1.22710328 0.6849568  0.514617  ],[1.28134259 0.63487636 0.46912425],[1.33430621 0.58740807 0.42134205],[1.38643378 0.54006052 0.37393496],[1.43752067 0.49230056 0.32750106],[1.47811356 0.44768294 0.28950351],[1.47474576 0.42899702 0.32256371],[1.47663696 0.40981628 0.34169652],[1.47866077 0.3918315  0.35426937],[1.47964949 0.37511301 0.36352372],[1.4798292 0.3605059 0.3719338],[1.47996949 0.3472931  0.37881391]
140000,[1.17204173 0.74789315 0.55890028],[1.16503315 0.68853883 0.56229508],[1.15396699 0.69015166 0.62343192],[1.1406489  0.70744446 0.65920851],[1.11292768 0.69080168 0.68105109],[1.09589752 0.68260697 0.68262243],[1.08130658 0.65687517 0.68129051],[1.05717668 0.61268446 0.63827549],[1.041182  0.5676745 0.5906182],[1.03497297 0.52133764 0.54493348],[1.04137145 0.47359157 0.50298506],[1.06131109 0.42624628 0.46700669],[1.08019968 0.41879059 0.45879024]
150000,[1.17204173 0.74789315 0.55890028],[1.213131   0.70765962 0.5438719 ],[1.2374933  0.66411143 0.52632692],[1.26299303 0.62156244 0.50994541],[1.28734786 0.5787475  0.4926193 ],[1.29521092 0.5539006  0.48356291],[1.28642583 0.54639195 0.48172922],[1.2783425  0.53910399 0.47979072],[1.27079239 0.53199591 0.47782307],[1.26362811 0.52518613 0.47591166],[1.25677455 0.51870972 0.47407749],[1.25019401 0.5125665  0.47232369],[1.24386453 0.50674314 0.47064699]
