10,[1.17204173 0.74789315 0.55890028],[1.13557515 0.79572989 0.50873539],[1.1207603  0.84843785 0.45868728],[1.14508996 0.89638336 0.40859883],[1.18692062 0.94846559 0.35871812],[1.23770456 0.99684704 0.31441601],[1.28598748 1.0486838  0.32770422],[1.33820764 1.09743517 0.36904194],[1.38727952 1.15142037 0.41588171],[1.4450611  1.20283582 0.4666017 ],[1.46148174 1.25409614 0.52341082],[1.52106283 1.30552799 0.58838849]
20,[1.17204173 0.74789315 0.55890028],[1.13557515 0.79572989 0.50873539],[1.1207603  0.84843785 0.45868728],[1.14508996 0.89638336 0.40859883],[1.18692062 0.94846559 0.35871812],[1.23770456 0.99684704 0.31441601],[1.28598748 1.0486838  0.32770422],[1.33820764 1.09743517 0.36904194],[1.38727952 1.15142037 0.41588171],[1.4450611  1.20283582 0.4666017 ],[1.46148174 1.25409614 0.52341082],[1.52106283 1.30552799 0.58838849]
30,[1.17204173 0.74789315 0.55890028],[1.13557515 0.79572989 0.50873539],[1.1207603  0.84843785 0.45868728],[1.14508996 0.89638336 0.40859883],[1.18692062 0.94846559 0.35871812],[1.23770456 0.99684704 0.31441601],[1.28598748 1.0486838  0.32770422],[1.33820764 1.09743517 0.36904194],[1.38727952 1.15142037 0.41588171],[1.4450611  1.20283582 0.4666017 ],[1.46148174 1.25409614 0.52341082],[1.52106283 1.30552799 0.58838849]
40,[1.17204173 0.74789315 0.55890028],[1.13557515 0.79572989 0.50873539],[1.1207603  0.84843785 0.45868728],[1.14508996 0.89638336 0.40859883],[1.18692062 0.94846559 0.35871812],[1.23770456 0.99684704 0.31441601],[1.28598748 1.0486838  0.32770422],[1.33820764 1.09743517 0.36904194],[1.38727952 1.15142037 0.41588171],[1.4450611  1.20283582 0.4666017 ],[1.46148174 1.25409614 0.52341082],[1.52106283 1.30552799 0.58838849]
50,[1.17204173 0.74789315 0.55890028],[1.13557515 0.79572989 0.50873539],[1.1207603  0.84843785 0.45868728],[1.14508996 0.89638336 0.40859883],[1.18692062 0.94846559 0.35871812],[1.23770456 0.99684704 0.31441601],[1.28598748 1.0486838  0.32770422],[1.33820764 1.09743517 0.36904194],[1.38727952 1.15142037 0.41588171],[1.4450611  1.20283582 0.4666017 ],[1.46148174 1.25409614 0.52341082],[1.52106283 1.30552799 0.58838849]
60,[1.17204173 0.74789315 0.55890028],[1.13557515 0.79572989 0.50873539],[1.1207603  0.84843785 0.45868728],[1.14508996 0.89638336 0.40859883],[1.18692062 0.94846559 0.35871812],[1.23770456 0.99684704 0.31441601],[1.28598748 1.0486838  0.32770422],[1.33820764 1.09743517 0.36904194],[1.38727952 1.15142037 0.41588171],[1.4450611  1.20283582 0.4666017 ],[1.46148174 1.25409614 0.52341082],[1.52106283 1.30552799 0.58838849]
70,[1.17204173 0.74789315 0.55890028],[1.13557515 0.79572989 0.50873539],[1.1207603  0.84843785 0.45868728],[1.14508996 0.89638336 0.40859883],[1.18692062 0.94846559 0.35871812],[1.23770456 0.99684704 0.31441601],[1.28598748 1.0486838  0.32770422],[1.33820764 1.09743517 0.36904194],[1.38727952 1.15142037 0.41588171],[1.4450611  1.20283582 0.4666017 ],[1.46148174 1.25409614 0.52341082],[1.52106283 1.30552799 0.58838849]
80,[1.17204173 0.74789315 0.55890028],[1.13557515 0.79572989 0.50873539],[1.1207603  0.84843785 0.45868728],[1.14508996 0.89638336 0.40859883],[1.18692062 0.94846559 0.35871812],[1.23770456 0.99684704 0.31441601],[1.28598748 1.0486838  0.32770422],[1.33820764 1.09743517 0.36904194],[1.38727952 1.15142037 0.41588171],[1.4450611  1.20283582 0.4666017 ],[1.46148174 1.25409614 0.52341082],[1.52106283 1.30552799 0.58838849]
90,[1.17204173 0.74789315 0.55890028],[1.13557515 0.79572989 0.50873539],[1.1207603  0.84843785 0.45868728],[1.14508996 0.89638336 0.40859883],[1.18692062 0.94846559 0.35871812],[1.23770456 0.99684704 0.31441601],[1.28598748 1.0486838  0.32770422],[1.33820764 1.09743517 0.36904194],[1.38727952 1.15142037 0.41588171],[1.4450611  1.20283582 0.4666017 ],[1.46148174 1.25409614 0.52341082],[1.52106283 1.30552799 0.58838849]
100,[1.17204173 0.74789315 0.55890028],[1.13557515 0.79572989 0.50873539],[1.1207603  0.84843785 0.45868728],[1.14508996 0.89638336 0.40859883],[1.18692062 0.94846559 0.35871812],[1.23770456 0.99684704 0.31441601],[1.28598748 1.0486838  0.32770422],[1.33820764 1.09743517 0.36904194],[1.38727952 1.15142037 0.41588171],[1.4450611  1.20283582 0.4666017 ],[1.46148174 1.25409614 0.52341082],[1.52106283 1.30552799 0.58838849]
110,[1.17204173 0.74789315 0.55890028],[1.13748282 0.79573189 0.50873639],[1.12719655 0.84845904 0.45868856],[1.15596001 0.89642283 0.40861846],[1.19903533 0.94855126 0.35887087],[1.25016747 0.9969246  0.31942694],[1.29847846 1.04896699 0.34578024],[1.35200375 1.09831939 0.39001027],[1.40066018 1.15655674 0.4397684 ],[1.46369079 1.20872973 0.50124759],[1.35430339 1.26620667 0.55773336],[1.41911936 1.31626202 0.62075242],[1.38533558 1.33804445 0.66053793]
120,[1.17204173 0.74789315 0.55890028],[1.13748282 0.79573189 0.50873639],[1.12719655 0.84845904 0.45868856],[1.15596001 0.89642283 0.40861846],[1.19903533 0.94855126 0.35887087],[1.25016747 0.9969246  0.31942694],[1.29847846 1.04896699 0.34578024],[1.35200375 1.09831939 0.39001027],[1.40066018 1.15655674 0.4397684 ],[1.46369079 1.20872973 0.50124759],[1.35430339 1.26620667 0.55773336],[1.41911936 1.31626202 0.62075242],[1.38533558 1.33804445 0.66053793]
130,[1.17204173 0.74789315 0.55890028],[1.13748282 0.79573189 0.50873639],[1.12719655 0.84845904 0.45868856],[1.15596001 0.89642283 0.40861846],[1.19903533 0.94855126 0.35887087],[1.25016747 0.9969246  0.31942694],[1.29847846 1.04896699 0.34578024],[1.35200375 1.09831939 0.39001027],[1.40066018 1.15655674 0.4397684 ],[1.46369079 1.20872973 0.50124759],[1.35430339 1.26620667 0.55773336],[1.41911936 1.31626202 0.62075242],[1.38533558 1.33804445 0.66053793]
140,[1.17204173 0.74789315 0.55890028],[1.13748282 0.79573189 0.50873639],[1.12719655 0.84845904 0.45868856],[1.15596001 0.89642283 0.40861846],[1.19903533 0.94855126 0.35887087],[1.25016747 0.9969246  0.31942694],[1.29847846 1.04896699 0.34578024],[1.35200375 1.09831939 0.39001027],[1.40066018 1.15655674 0.4397684 ],[1.46369079 1.20872973 0.50124759],[1.35430339 1.26620667 0.55773336],[1.41911936 1.31626202 0.62075242],[1.38533558 1.33804445 0.66053793]
150,[1.17204173 0.74789315 0.55890028],[1.13748282 0.79573189 0.50873639],[1.12719655 0.84845904 0.45868856],[1.15596001 0.89642283 0.40861846],[1.19903533 0.94855126 0.35887087],[1.25016747 0.9969246  0.31942694],[1.29847846 1.04896699 0.34578024],[1.35200375 1.09831939 0.39001027],[1.40066018 1.15655674 0.4397684 ],[1.46369079 1.20872973 0.50124759],[1.35430339 1.26620667 0.55773336],[1.41911936 1.31626202 0.62075242],[1.38533558 1.33804445 0.66053793]
160,[1.17204173 0.74789315 0.55890028],[1.13748282 0.79573189 0.50873639],[1.12719655 0.84845904 0.45868856],[1.15596001 0.89642283 0.40861846],[1.19903533 0.94855126 0.35887087],[1.25016747 0.9969246  0.31942694],[1.29847846 1.04896699 0.34578024],[1.35200375 1.09831939 0.39001027],[1.40066018 1.15655674 0.4397684 ],[1.46369079 1.20872973 0.50124759],[1.35430339 1.26620667 0.55773336],[1.41911936 1.31626202 0.62075242],[1.38533558 1.33804445 0.66053793]
170,[1.17204173 0.74789315 0.55890028],[1.13748282 0.79573189 0.50873639],[1.12719655 0.84845904 0.45868856],[1.15596001 0.89642283 0.40861846],[1.19903533 0.94855126 0.35887087],[1.25016747 0.9969246  0.31942694],[1.29847846 1.04896699 0.34578024],[1.35200375 1.09831939 0.39001027],[1.40066018 1.15655674 0.4397684 ],[1.46369079 1.20872973 0.50124759],[1.35430339 1.26620667 0.55773336],[1.41911936 1.31626202 0.62075242],[1.38533558 1.33804445 0.66053793]
180,[1.17204173 0.74789315 0.55890028],[1.13748282 0.79573189 0.50873639],[1.12719655 0.84845904 0.45868856],[1.15596001 0.89642283 0.40861846],[1.19903533 0.94855126 0.35887087],[1.25016747 0.9969246  0.31942694],[1.29847846 1.04896699 0.34578024],[1.35200375 1.09831939 0.39001027],[1.40066018 1.15655674 0.4397684 ],[1.46369079 1.20872973 0.50124759],[1.35430339 1.26620667 0.55773336],[1.41911936 1.31626202 0.62075242],[1.38533558 1.33804445 0.66053793]
190,[1.17204173 0.74789315 0.55890028],[1.13748282 0.79573189 0.50873639],[1.12719655 0.84845904 0.45868856],[1.15596001 0.89642283 0.40861846],[1.19903533 0.94855126 0.35887087],[1.25016747 0.9969246  0.31942694],[1.29847846 1.04896699 0.34578024],[1.35200375 1.09831939 0.39001027],[1.40066018 1.15655674 0.4397684 ],[1.46369079 1.20872973 0.50124759],[1.35430339 1.26620667 0.55773336],[1.41911936 1.31626202 0.62075242],[1.38533558 1.33804445 0.66053793]
200,[1.17204173 0.74789315 0.55890028],[1.13748282 0.79573189 0.50873639],[1.12719655 0.84845904 0.45868856],[1.15596001 0.89642283 0.40861846],[1.19903533 0.94855126 0.35887087],[1.25016747 0.9969246  0.31942694],[1.29847846 1.04896699 0.34578024],[1.35200375 1.09831939 0.39001027],[1.40066018 1.15655674 0.4397684 ],[1.46369079 1.20872973 0.50124759],[1.35430339 1.26620667 0.55773336],[1.41911936 1.31626202 0.62075242],[1.38533558 1.33804445 0.66053793]
