10000,[1.17204173 0.74789315 0.55890028],[1.22538752 0.70783493 0.64542538],[1.27363353 0.66097785 0.66412842],[1.32565425 0.61091708 0.74194482],[1.37675734 0.56366635 0.76757735],[1.41003538 0.51757003 0.85023319],[1.40513536 0.52408104 0.85055039],[1.41364452 0.49019433 0.93481526],[1.41692906 0.49742197 0.92843335],[1.41403274 0.46798287 1.00900595],[1.42527036 0.47408252 0.99829814],[1.41355076 0.44847282 1.07385543],[1.42903774 0.45520811 1.05959663]
20000,[1.17204173 0.74789315 0.55890028],[1.2253477  0.70804225 0.64530726],[1.27315621 0.66084306 0.66405329],[1.32529599 0.61191254 0.74089521],[1.35540345 0.5758599  0.76070687],[1.37405445 0.5499234  0.84153837],[1.34717407 0.56096773 0.83765035],[1.35757174 0.54004619 0.91119695],[1.33900473 0.55179052 0.90315078],[1.33945264 0.53746006 0.96971497],[1.32877434 0.54787272 0.95838782],[1.32247567 0.53802689 1.01831789],[1.31757223 0.54731801 1.00373879]
30000,[1.17204173 0.74789315 0.55890028],[1.20427793 0.70806408 0.64370858],[1.24421239 0.66083235 0.66185513],[1.29224069 0.61207472 0.73817331],[1.33586157 0.56489543 0.76262965],[1.3593306  0.53724112 0.84110316],[1.32708727 0.55298703 0.83564894],[1.34173177 0.53093305 0.9075362 ],[1.31797643 0.547106   0.89812399],[1.32349531 0.53122389 0.96323997],[1.3081921  0.54548314 0.95132893],[1.30661086 0.53447378 1.00969511],[1.29811612 0.54654016 0.9958621 ]
40000,[1.17204173 0.74789315 0.55890028],[1.19682637 0.70805511 0.64518626],[1.23822113 0.66083212 0.66383783],[1.28770199 0.61208156 0.74043949],[1.33316414 0.5642776  0.76523078],[1.35827205 0.53582693 0.8432425 ],[1.32591272 0.55216287 0.83729846],[1.3407106  0.53033936 0.90898646],[1.31795555 0.54624583 0.89982147],[1.32263568 0.53125225 0.96457002],[1.30963411 0.5442026  0.9539323 ],[1.30618001 0.53476186 1.01158261],[1.30085504 0.54476265 0.99979689]
50000,[1.17204173 0.74789315 0.55890028],[1.18699821 0.70804827 0.64532144],[1.22801552 0.66083851 0.66406232],[1.27714426 0.61209483 0.74077141],[1.32423432 0.56320953 0.76621302],[1.353572   0.53171248 0.84330125],[1.32198089 0.54830802 0.83751045],[1.3369678  0.52674193 0.90920186],[1.31358845 0.54369389 0.89948221],[1.31939035 0.52827743 0.96431851],[1.30526261 0.54253669 0.95283227],[1.30309976 0.53255011 1.01065159],[1.29677049 0.5436655  0.99818598]
60000,[1.17204173 0.74789315 0.55890028],[1.17846195 0.70804416 0.64533387],[1.21620105 0.66084698 0.66407095],[1.26334365 0.6121103  0.74079167],[1.31060375 0.56295707 0.766389  ],[1.34640284 0.52630695 0.84192882],[1.31797646 0.54192861 0.83729688],[1.33192139 0.52160412 0.90906131],[1.31092719 0.53805454 0.90036142],[1.3154101  0.52404008 0.96501046],[1.30487138 0.53671357 0.95552094],[1.30028943 0.52886092 1.01275809],[1.29684808 0.53867724 1.00174061]
70000,[1.17204173 0.74789315 0.55890028],[1.16523249 0.70804058 0.64535111],[1.19965332 0.66086242 0.66408043],[1.24447601 0.61213504 0.74080939],[1.29156363 0.56292394 0.76643913],[1.33585621 0.51929818 0.83998282],[1.31283142 0.53337474 0.83694417],[1.32476514 0.51523326 0.9088207 ],[1.30569406 0.53161792 0.90065234],[1.30992146 0.51840487 0.96528253],[1.30084067 0.53114459 0.95623103],[1.29589278 0.52411819 1.013372  ],[1.29495504 0.5329813  1.00374753]
80000,[1.17204173 0.74789315 0.55890028],[1.15142997 0.70804017 0.64536971],[1.18226027 0.66088218 0.66409048],[1.2245992  0.61216352 0.74082652],[1.27145961 0.56294416 0.76645932],[1.32369393 0.51275293 0.83818343],[1.30718794 0.52475571 0.83673563],[1.31735798 0.50869036 0.90870991],[1.30098564 0.52454258 0.90152559],[1.30415885 0.5127585  0.96599589],[1.29659953 0.52553381 0.95731216],[1.29228049 0.51849795 1.01470129],[1.29062102 0.5290655  1.00361445]
90000,[1.17204173 0.74789315 0.55890028],[1.14148396 0.70804184 0.64538346],[1.16711468 0.66089958 0.66409368],[1.20583302 0.61218755 0.74083695],[1.25278914 0.56297266 0.76646887],[1.30565314 0.51288262 0.83847117],[1.31365657 0.50649784 0.84982845],[1.32697865 0.48598985 0.92284003],[1.31929902 0.50129066 0.91754905],[1.31927354 0.48910501 0.98548195],[1.32022856 0.50054106 0.9756069 ],[1.31523522 0.48966369 1.03951841],[1.31916974 0.50179331 1.02190551]
100000,[1.17204173 0.74789315 0.55890028],[1.21804002 0.70807679 0.64528814],[1.26571517 0.66082354 0.66404996],[1.31784784 0.61205603 0.74074178],[1.35090281 0.57386891 0.76163343],[1.3811355  0.53876236 0.84177723],[1.43973995 0.49018692 0.8798548 ],[1.45241023 0.43302341 0.95537224],[1.45131558 0.46315695 0.95523065],[1.4499947  0.40712274 1.03086901],[1.44309827 0.45086199 1.01222784],[1.44042955 0.3950907  1.08503351],[1.43775517 0.43893365 1.05909545]
110000,[1.17204173 0.74789315 0.55890028],[1.2253207  0.70808648 0.64528159],[1.27312856 0.6608462  0.66405774],[1.32525566 0.61196641 0.74083764],[1.36565827 0.57007087 0.76414644],[1.41186171 0.51684642 0.84430392],[1.47081034 0.4672326  0.8893915 ],[1.44225941 0.4551438  0.96088825],[1.50272292 0.40786774 1.00286626],[1.47959822 0.38555111 1.06541182],[1.4999016  0.3825787  1.09321418],[1.48170317 0.35565766 1.14828591],[1.48472824 0.37266731 1.16204251]
