10000,[1.17204173 0.74789315 0.55890028],[1.22551376 0.7069935  0.64586787],[1.275131   0.66135626 0.66443278],[1.32597941 0.60840605 0.74394571],[1.38101318 0.56343039 0.76954933],[1.41970293 0.50314995 0.84950424],[1.48238473 0.46208694 0.88469425],[1.4501667  0.41122015 0.96108112],[1.50999141 0.38063719 1.00482473]
20000,[1.17204173 0.74789315 0.55890028],[1.22535464 0.70800745 0.64532736],[1.27553246 0.6615984  0.66470534],[1.32616822 0.60834227 0.74417771],[1.38080468 0.56348487 0.76925409],[1.41857382 0.50521565 0.84988754],[1.48060423 0.46408489 0.88210254],[1.45545927 0.41408301 0.96231177],[1.51321048 0.38650861 1.00181816]
30000,[1.17204173 0.74789315 0.55890028],[1.22534146 0.70807319 0.64528933],[1.27355879 0.6609862  0.66414514],[1.32599157 0.61022298 0.7426382 ],[1.37900664 0.56383517 0.76889746],[1.41670674 0.50941773 0.84981538],[1.47674883 0.46697966 0.88051646],[1.45888328 0.41818458 0.9634667 ],[1.50834235 0.39702363 0.99943141]
40000,[1.17204173 0.74789315 0.55890028],[1.22534102 0.70807532 0.64528809],[1.27373567 0.66104618 0.66418689],[1.3261078  0.60974153 0.74305683],[1.37953021 0.56380474 0.76914802],[1.4178346  0.50770757 0.84977399],[1.47871036 0.46555205 0.8817585 ],[1.45628858 0.4158594  0.9629666 ],[1.50992635 0.39157286 1.00123074]
50000,[1.17204173 0.74789315 0.55890028],[1.22534088 0.70807599 0.6452877 ],[1.2736488  0.66101707 0.6641664 ],[1.32602864 0.610054   0.74278824],[1.37973288 0.56387738 0.7693897 ],[1.41646846 0.50909447 0.84998219],[1.47734973 0.4661657  0.8827395 ],[1.45749967 0.41637779 0.96308816],[1.512096   0.39045677 1.00183849]
60000,[1.17204173 0.74789315 0.55890028],[1.22533996 0.70808053 0.64528506],[1.27343766 0.66094598 0.66411889],[1.32613718 0.60987652 0.74294594],[1.380092   0.56392237 0.76973765],[1.41747902 0.50785496 0.84987479],[1.47860921 0.4654201  0.88265103],[1.45611121 0.41544628 0.96286227],[1.51035382 0.39097142 1.00115478]
70000,[1.17204173 0.74789315 0.55890028],[1.22533972 0.70808165 0.64528441],[1.27341384 0.66093799 0.66411379],[1.32607895 0.61007492 0.74277335],[1.38011266 0.56395108 0.76979684],[1.41694154 0.50846019 0.84994801],[1.47792953 0.46582878 0.88248859],[1.45683256 0.41588632 0.96297954],[1.50923894 0.3934898  0.99982649]
80000,[1.17204173 0.74789315 0.55890028],[1.22533685 0.70808643 0.64481623],[1.27323799 0.66087994 0.66352947],[1.32601402 0.61037245 0.74192964],[1.3811554  0.56406042 0.77028399],[1.41608371 0.50871948 0.84964896],[1.47729905 0.46599563 0.88217427],[1.45883652 0.41704398 0.96263191],[1.51072817 0.39484504 0.99769364]
90000,[1.17204173 0.74789315 0.55890028],[1.22533969 0.70807971 0.64517906],[1.2743163  0.66123771 0.66420937],[1.32619745 0.60890644 0.74358294],[1.38038224 0.56369346 0.76936361],[1.41723069 0.50731861 0.84989547],[1.47808684 0.46567694 0.87989998],[1.4599344  0.41910306 0.96333953],[1.51016836 0.39729679 0.99688736]
100000,[1.17204173 0.74789315 0.55890028],[1.22533921 0.70808343 0.64524696],[1.27427216 0.66122378 0.66427847],[1.32616493 0.60908917 0.74352834],[1.38027669 0.56371148 0.76940036],[1.41754677 0.50712761 0.84990499],[1.47843892 0.46554426 0.88014312],[1.45909321 0.41786973 0.96321776],[1.50713318 0.39949648 0.99566079]
