10000,[1.17204173 0.74789315],[1.23228605 0.80742522],[1.28847943 0.85845898],[1.34190013 0.90658879],[1.39333853 0.95376492],[1.44312135 1.00053973],[1.49160574 1.04766028],[1.53963013 1.09580116],[1.58723159 1.14420763],[1.57996971 1.1564479 ],[1.56469069 1.16272372],[1.54801989 1.16738033],[1.53110553 1.17114497]
20000,[1.17204173 0.74789315],[1.23157751 0.80770167],[1.28909871 0.85826867],[1.3436765  0.90463684],[1.39323029 0.94936331],[1.43901391 0.99518691],[1.484651   1.04317696],[1.51048705 1.08003983],[1.50405114 1.09754363],[1.49481807 1.11295205],[1.48397174 1.12672861],[1.47195161 1.13895575],[1.4591263  1.14964588]
30000,[1.17204173 0.74789315],[1.24187404 0.80303644],[1.29420611 0.84700868],[1.34145389 0.89006802],[1.38788892 0.93575358],[1.42955204 0.97890088],[1.43244484 0.99116324],[1.43188451 0.99985938],[1.43017409 1.00687154],[1.42800688 1.01279498],[1.42568754 1.01792501],[1.42334739 1.02241668],[1.42104646 1.02636581]
40000,[1.17204173 0.74789315],[1.23267666 0.81324895],[1.28750865 0.86297494],[1.33721379 0.91114204],[1.3881897  0.95790176],[1.43852586 1.00450591],[1.46727894 1.04047081],[1.47170414 1.05935298],[1.47124876 1.0720486 ],[1.46908922 1.0813131 ],[1.4664824  1.08853188],[1.4639112  1.09442536],[1.4615356  1.09937408]
50000,[1.17204173 0.74789315],[1.23916793 0.80716405],[1.28620481 0.84734276],[1.33412038 0.8903105 ],[1.38269593 0.93510861],[1.43082804 0.9812914 ],[1.44386738 0.99667201],[1.43491013 0.99171962],[1.42804335 0.98866898],[1.42226742 0.98644625],[1.41705546 0.98454489],[1.41225635 0.98282793],[1.40782945 0.98126637]
60000,[1.17204173 0.74789315],[1.22663914 0.81706533],[1.28909968 0.85488886],[1.34732626 0.89392966],[1.39233567 0.93536119],[1.43767151 0.9796433 ],[1.42802762 0.97550474],[1.42206715 0.97403368],[1.41893578 0.97461158],[1.41660152 0.97542671],[1.4144644 0.975999 ],[1.41236024 0.97624146],[1.41026258 0.97618406]
70000,[1.17204173 0.74789315],[1.2394995 0.8068189],[1.29470464 0.84874422],[1.34325138 0.88775133],[1.38923633 0.93162975],[1.4353587  0.97837504],[1.44564593 0.99194293],[1.43854419 0.98879242],[1.43471333 0.98842738],[1.43190584 0.98880389],[1.42943773 0.98930659],[1.42710958 0.98976342],[1.42484985 0.99011941]
80000,[1.17204173 0.74789315],[1.2412021  0.80369534],[1.29464258 0.85092515],[1.34541473 0.89079693],[1.39279513 0.93503014],[1.44021438 0.98201493],[1.48835101 1.0303852 ],[1.504813   1.05094872],[1.50251756 1.05410556],[1.4985085  1.05481951],[1.49393597 1.05422889],[1.48941452 1.05297827],[1.48525753 1.05144663]
90000,[1.17204173 0.74789315],[1.17395522 0.80313095],[1.23655491 0.83850175],[1.25812308 0.88335751],[1.29906279 0.92619198],[1.34361631 0.97168039],[1.39002047 1.01866466],[1.41489325 1.04263209],[1.40932696 1.03359019],[1.4054401  1.02658192],[1.40247943 1.02070706],[1.39992369 1.01538361],[1.39763594 1.01046381]
100000,[1.17204173 0.74789315],[1.23271972 0.80886757],[1.28633396 0.85166832],[1.33451119 0.89596615],[1.38184862 0.94305798],[1.43006648 0.99165404],[1.47883641 1.04070621],[1.49081957 1.06553799],[1.4911325  1.08119053],[1.48819127 1.0932238 ],[1.48378071 1.10287516],[1.47880233 1.11083472],[1.47372743 1.11754883]
