10000,[1.17204173 0.74789315],[1.22517207 0.70806321],[1.27291604 0.66086144],[1.32499244 0.61183595],[1.36346602 0.57101872],[1.38825416 0.5380147 ],[1.40123756 0.52718957],[1.41211496 0.49432275],[1.47289771 0.44683142],[1.46431246 0.3930376 ],[1.5032621  0.37629756],[1.46007455 0.34030116],[1.46360275 0.35334479]
20000,[1.17204173 0.74789315],[1.22018436 0.70988248],[1.26614055 0.66276775],[1.2605164  0.65674137],[1.30484341 0.60772546],[1.28564285 0.61867072],[1.30334732 0.58698266],[1.29699377 0.59311865],[1.29048454 0.58068801],[1.29469064 0.58040118],[1.28334867 0.57420775],[1.29065964 0.57274617],[1.27840388 0.56944792]
30000,[1.17204173 0.74789315],[1.22147725 0.7099423 ],[1.26743933 0.66254321],[1.2610733  0.65726726],[1.30454363 0.60770691],[1.28288862 0.62190683],[1.29239648 0.59261484],[1.28452501 0.60141392],[1.271186   0.58844107],[1.27429807 0.5909742 ],[1.2556416  0.58353778],[1.26320877 0.58447379],[1.2433778 0.5795978]
40000,[1.17204173 0.74789315],[1.22175796 0.71006756],[1.26886139 0.66271326],[1.26228144 0.65780303],[1.30730305 0.6082481 ],[1.28627504 0.62319099],[1.2953209  0.59609841],[1.28927185 0.60467591],[1.27667979 0.59330154],[1.28099394 0.59575481],[1.26330558 0.58949407],[1.27157674 0.59032235],[1.25272793 0.5862786 ]
50000,[1.17204173 0.74789315],[1.22176898 0.71006943],[1.26890388 0.66271507],[1.26230314 0.65783235],[1.30738284 0.6082754 ],[1.28635303 0.62331275],[1.29535981 0.59632124],[1.28933684 0.60498643],[1.27674109 0.59369589],[1.28106989 0.59623355],[1.26337685 0.59003888],[1.2716654  0.59093524],[1.25280327 0.58694136]
60000,[1.17204173 0.74789315],[1.22176908 0.71006962],[1.26890528 0.66271524],[1.26229734 0.65783823],[1.30737924 0.60828106],[1.2863264 0.623345 ],[1.29531757 0.59636569],[1.28926022 0.60507432],[1.27664541 0.59379546],[1.28094304 0.59637899],[1.26322784 0.59019375],[1.27149421 0.59113246],[1.2526063  0.58714649]
70000,[1.17204173 0.74789315],[1.22176942 0.71006965],[1.26890649 0.66271527],[1.26229817 0.65783874],[1.30738134 0.60828153],[1.28632804 0.62334719],[1.2953182  0.59636985],[1.28926036 0.60508063],[1.27664496 0.59380339],[1.28094191 0.59638937],[1.26322606 0.59020543],[1.27149205 0.59114634],[1.25260329 0.58716141]
80000,[1.17204173 0.74789315],[1.22176967 0.71006967],[1.26890696 0.66271528],[1.26229863 0.65783876],[1.30738201 0.60828156],[1.28632893 0.62334711],[1.29531896 0.59637   ],[1.28926143 0.60508056],[1.27664604 0.59380345],[1.28094323 0.59638924],[1.26322752 0.59020535],[1.27149372 0.59114605],[1.25260516 0.58716113]
90000,[1.17204173 0.74789315],[1.22176966 0.71006967],[1.26890694 0.66271528],[1.26229848 0.65783885],[1.30738185 0.60828164],[1.28632828 0.62334766],[1.29531806 0.59637068],[1.2892597  0.60508214],[1.27664394 0.59380518],[1.28094035 0.59639195],[1.26322419 0.59020818],[1.27148973 0.59114989],[1.2526006 0.5871651]
100000,[1.17204173 0.74789315],[1.22176964 0.71006965],[1.26890693 0.6627153 ],[1.26229847 0.65783878],[1.30738188 0.60828164],[1.28632849 0.62334726],[1.29531913 0.59636992],[1.28926072 0.60508126],[1.27664529 0.59380433],[1.28094171 0.59639103],[1.26322578 0.59020738],[1.27149127 0.5911491 ],[1.2526023  0.58716451]
110000,[1.17204173 0.74789315],[1.22176964 0.71006966],[1.26890695 0.66271531],[1.26229838 0.65783884],[1.30738183 0.60828173],[1.28632856 0.62334712],[1.29531974 0.59636958],[1.28926137 0.60508081],[1.27664621 0.5938039 ],[1.28094259 0.59639058],[1.26322704 0.59020695],[1.27149231 0.59114878],[1.25260382 0.58716415]
120000,[1.17204173 0.74789315],[1.22176959 0.71006966],[1.26890683 0.66271528],[1.26229828 0.6578389 ],[1.30738161 0.6082817 ],[1.28632795 0.62334776],[1.29531778 0.59637073],[1.2892593  0.60508231],[1.27664343 0.59380538],[1.28093972 0.59639234],[1.26322342 0.5902086 ],[1.27148884 0.59115055],[1.25259953 0.58716583]
130000,[1.17204173 0.74789315],[1.22176949 0.71006966],[1.26890664 0.66271528],[1.26229818 0.65783884],[1.30738142 0.60828164],[1.28632773 0.62334774],[1.29531747 0.59637069],[1.2892589  0.60508235],[1.276643   0.59380537],[1.28093929 0.59639231],[1.26322289 0.59020858],[1.27148832 0.59115049],[1.25259893 0.58716574]
140000,[1.17204173 0.74789315],[1.22176935 0.71006964],[1.26890638 0.66271527],[1.26229787 0.65783887],[1.307381   0.60828167],[1.28632709 0.62334796],[1.29531687 0.59637082],[1.28925794 0.60508283],[1.27664195 0.59380585],[1.2809379  0.59639314],[1.26322138 0.5902094 ],[1.27148653 0.59115164],[1.25259697 0.5871669 ]
150000,[1.17204173 0.74789315],[1.2217692  0.71006964],[1.26890607 0.66271527],[1.26229763 0.65783881],[1.30738064 0.60828162],[1.28632673 0.62334787],[1.29531659 0.59637062],[1.28925763 0.60508264],[1.27664161 0.59380562],[1.2809375  0.59639292],[1.26322096 0.59020915],[1.27148609 0.59115139],[1.25259653 0.5871666 ]
160000,[1.17204173 0.74789315],[1.22176908 0.71006962],[1.26890585 0.66271524],[1.26229741 0.65783876],[1.30738024 0.60828157],[1.28632629 0.62334777],[1.29531629 0.59637033],[1.28925712 0.60508244],[1.27664117 0.5938053 ],[1.28093695 0.59639262],[1.26322042 0.59020876],[1.27148546 0.591151  ],[1.25259583 0.58716619]
170000,[1.17204173 0.74789315],[1.22176878 0.71006961],[1.26890524 0.66271523],[1.26229688 0.65783862],[1.30737935 0.60828143],[1.28632536 0.62334749],[1.29531556 0.59636973],[1.28925612 0.60508193],[1.27664016 0.59380462],[1.28093582 0.59639191],[1.26321916 0.59020797],[1.27148407 0.5911502 ],[1.25259441 0.58716525]
180000,[1.17204173 0.74789315],[1.22175349 0.71006844],[1.26887788 0.66271413],[1.26227466 0.65783338],[1.3073455  0.60827653],[1.28629145 0.62333921],[1.29529168 0.59634964],[1.28922479 0.60506602],[1.27661006 0.59378385],[1.2809017  0.59637215],[1.26318407 0.59018536],[1.27144614 0.59112771],[1.25255481 0.58714071]
190000,[1.17204173 0.74789315],[1.12520942 0.70826439],[1.07272378 0.66104864],[1.02160381 0.61978949],[0.96966631 0.57053152],[0.9215208  0.55982485],[0.88265609 0.49630021],[0.84743526 0.51286665],[0.79675089 0.46041683],[0.77509523 0.46025084],[0.72926369 0.41762201],[0.72742334 0.44169597],[0.68719579 0.42149849]
200000,[1.17204173 0.74789315],[1.12529057 0.70825508],[1.07317293 0.66108702],[1.02218522 0.6203306 ],[0.97244419 0.57150574],[0.92955064 0.56336912],[0.89072246 0.50380184],[0.87662208 0.51869038],[0.83906798 0.46626671],[0.85176074 0.49776272],[0.83010982 0.44112916],[0.88638009 0.47349579],[0.87062642 0.42497426]
210000,[1.17204173 0.74789315],[1.1253239  0.70826148],[1.07318201 0.66106182],[1.02225895 0.61974745],[0.97098313 0.57054189],[0.92165773 0.56041472],[0.88367605 0.49777024],[0.84411525 0.51674346],[0.80117888 0.46106844],[0.77535672 0.46607213],[0.79825093 0.42417963],[0.78029857 0.45929103],[0.74111637 0.43929371]
