10000,[1.17204173 0.74789315],[1.22539292 0.70780416],[1.27367566 0.660988  ],[1.32567228 0.61083965],[1.37683125 0.56364083],[1.41131608 0.5162071 ],[1.40760533 0.52237981],[1.41616825 0.48744425],[1.41998971 0.49494434],[1.41704993 0.46443684],[1.42913893 0.47050378],[1.41713319 0.44393576],[1.43327754 0.45077489]
20000,[1.17204173 0.74789315],[1.22535769 0.70799093],[1.27319253 0.66084847],[1.32533664 0.61181087],[1.35637961 0.57528857],[1.37555701 0.54871508],[1.34806355 0.56036191],[1.35924087 0.53863195],[1.33941636 0.55138808],[1.34120644 0.53583678],[1.32912831 0.54743493],[1.32398709 0.53649673],[1.31809351 0.54670587]
30000,[1.17204173 0.74789315],[1.22437192 0.70870545],[1.27191056 0.66144498],[1.31342431 0.62127915],[1.35929814 0.57347569],[1.36216593 0.56205437],[1.34274214 0.56185849],[1.36039962 0.53933397],[1.3336451  0.55160266],[1.34650928 0.53165359],[1.32490077 0.54605574],[1.32980867 0.53125155],[1.31519548 0.54459979]
40000,[1.17204173 0.74789315],[1.22506008 0.70819372],[1.27268843 0.66093923],[1.3248418  0.61281576],[1.35924845 0.57317128],[1.36703544 0.55662686],[1.34243579 0.56273892],[1.35605478 0.54153944],[1.33278247 0.5539687 ],[1.33867012 0.53768163],[1.32431523 0.54886845],[1.32147628 0.5384238 ],[1.31502578 0.54725449]
50000,[1.17204173 0.74789315],[1.22531322 0.70809861],[1.27304525 0.66083678],[1.32527221 0.61210939],[1.35347751 0.57685696],[1.36917966 0.55387135],[1.34075677 0.56444767],[1.35252994 0.54361607],[1.3324251  0.55533737],[1.33361197 0.54160161],[1.32464172 0.54989535],[1.31710809 0.54208116],[1.31534953 0.5481799 ]
60000,[1.17204173 0.74789315],[1.21059393 0.70818774],[1.2508614 0.6600742],[1.29957909 0.61200919],[1.34363123 0.56240389],[1.3774629  0.52850894],[1.34444838 0.53887946],[1.35910687 0.51899996],[1.33960585 0.52481667],[1.34362672 0.5126477 ],[1.33633368 0.51282964],[1.33110798 0.50723527],[1.33246219 0.50297974]
70000,[1.17204173 0.74789315],[1.16048904 0.70804265],[1.16470651 0.66085236],[1.1822462 0.6121719],[1.20260429 0.56286381],[1.23498246 0.51345856],[1.24794047 0.49072155],[1.27591297 0.45368036],[1.25488305 0.48087731],[1.25967867 0.46416778],[1.25090648 0.48111467],[1.24646221 0.47122479],[1.24386019 0.48373369]
80000,[1.17204173 0.74789315],[1.18970641 0.70804258],[1.23084291 0.66084456],[1.27936052 0.6120569 ],[1.32558279 0.56324302],[1.35404316 0.53209402],[1.32160463 0.54885501],[1.33718277 0.5266139 ],[1.31167376 0.54462209],[1.31957214 0.52745752],[1.30177443 0.54402185],[1.30288245 0.53147052],[1.29210192 0.54562452]
90000,[1.17204173 0.74789315],[1.15082905 0.70793965],[1.19166118 0.66105596],[1.24013629 0.61159815],[1.288264   0.56277471],[1.33506379 0.51623307],[1.31532845 0.52714666],[1.32901787 0.50663783],[1.30512783 0.52646074],[1.31768716 0.50559591],[1.29767944 0.52678782],[1.30617592 0.50791498],[1.29233689 0.52766912]
100000,[1.17204173 0.74789315],[1.12587349 0.70805245],[1.09285813 0.65719949],[1.08530897 0.60846652],[1.13076139 0.55970362],[1.18119715 0.50914471],[1.22831493 0.46355828],[1.26886314 0.42406489],[1.26255204 0.44973689],[1.27074087 0.44018249],[1.27313572 0.45129633],[1.27430786 0.44649721],[1.28084214 0.45333567]
110000,[1.17204173 0.74789315],[1.12593886 0.7081322 ],[1.08955547 0.65897398],[1.04866367 0.60628746],[1.03225721 0.56040497],[1.03522645 0.50016066],[1.02609373 0.48908157],[1.06439063 0.42312108],[1.09526452 0.37943648],[1.14771578 0.31961743],[1.19019841 0.2778563 ],[1.24455655 0.21965217],[1.25759927 0.20998022]
120000,[1.17204173 0.74789315],[1.14170184 0.70801526],[1.16678829 0.65839991],[1.19107482 0.60577931],[1.24090848 0.55539398],[1.28056846 0.50776403],[1.33269878 0.45375204],[1.29247145 0.47620286],[1.30825454 0.44294944],[1.29093989 0.45165798],[1.2990357  0.41954689],[1.2802254 0.4357638],[1.29152066 0.39709273]
130000,[1.17204173 0.74789315],[1.13555115 0.70798534],[1.15821491 0.66210236],[1.19341453 0.60998194],[1.24565278 0.56330174],[1.29179555 0.51027093],[1.31718279 0.48958028],[1.33331314 0.46418643],[1.30849951 0.49504545],[1.32239637 0.47052246],[1.30492841 0.49854816],[1.30970887 0.48040694],[1.30184669 0.50248892]
140000,[1.17204173 0.74789315],[1.138379   0.70803107],[1.1772887 0.6613449],[1.2259388  0.61085039],[1.28048417 0.56399506],[1.32561904 0.51051437],[1.35349379 0.48931752],[1.34978015 0.47657871],[1.34470317 0.48915487],[1.34524915 0.47240438],[1.34547856 0.48238585],[1.34120336 0.46900248],[1.34678649 0.47533392]
150000,[1.17204173 0.74789315],[1.1305317  0.70804506],[1.17230079 0.6609456 ],[1.22425181 0.61151515],[1.27975468 0.56433636],[1.32515735 0.50345294],[1.38259649 0.46292399],[1.39512535 0.41511792],[1.41380284 0.42012577],[1.38965056 0.38713247],[1.39777494 0.40639138],[1.37894009 0.36998355],[1.38188595 0.39695333]
160000,[1.17204173 0.74789315],[1.2078665  0.70806485],[1.25562214 0.66083475],[1.30789653 0.61181934],[1.36374655 0.56426166],[1.39317282 0.51764212],[1.45300883 0.47132724],[1.42151273 0.45800374],[1.45295638 0.44273499],[1.41998551 0.43331295],[1.44581382 0.424289  ],[1.4156976  0.41832494],[1.43618671 0.41472276]
170000,[1.17204173 0.74789315],[1.22522614 0.7080857 ],[1.27326093 0.66092481],[1.32595574 0.61013673],[1.38063974 0.56400143],[1.41777895 0.50695749],[1.44243992 0.49608492],[1.43608292 0.45782249],[1.43574967 0.47306722],[1.42890805 0.43573076],[1.42916933 0.45267682],[1.41912577 0.42006868],[1.42255368 0.43551217]
180000,[1.17204173 0.74789315],[1.22533171 0.70808666],[1.27316597 0.66085537],[1.32563144 0.61129722],[1.38035516 0.56416536],[1.41106409 0.51013998],[1.4392677  0.49471889],[1.40742201 0.47726903],[1.42381171 0.47214141],[1.4015449  0.45444088],[1.41191434 0.45476587],[1.39486284 0.43923979],[1.40159021 0.44298961]
190000,[1.17204173 0.74789315],[1.22533719 0.70808641],[1.27322528 0.6608742 ],[1.32566148 0.61121722],[1.3807752  0.56416156],[1.41633118 0.50650002],[1.46717762 0.47464401],[1.41393227 0.47049017],[1.4521246  0.44862339],[1.40959527 0.44871259],[1.43860521 0.43414762],[1.40313733 0.43921665],[1.42619152 0.42942664]
200000,[1.17204173 0.74789315],[1.22271982 0.70844351],[1.26998238 0.66127004],[1.32183169 0.61258435],[1.37439841 0.56516507],[1.38600734 0.53206907],[1.44327485 0.48739144],[1.41553859 0.47264853],[1.45361784 0.44997761],[1.42621368 0.4393367 ],[1.45536687 0.42675465],[1.42420021 0.42616561],[1.44925294 0.41720418]
210000,[1.17204173 0.74789315],[1.12636396 0.70530293],[1.08732577 0.66182472],[1.05328147 0.60753685],[1.08710952 0.56265096],[1.12351008 0.50391927],[1.1853263  0.46043734],[1.20894052 0.4211925 ],[1.26945678 0.37564023],[1.2816321  0.34903861],[1.33557653 0.2886932 ],[1.38411809 0.24541688],[1.43213938 0.18348696]
220000,[1.17204173 0.74789315],[1.12515853 0.80805761],[1.07234388 0.8609454 ],[1.04485522 0.90006522],[0.99443546 0.95040563],[0.97643332 0.9666035 ],[0.92782196 1.01656374],[0.88142181 1.04622574],[0.85273691 1.09041898],[0.81342357 1.12601357],[0.78571871 1.17196029],[0.75677926 1.20298269],[0.72877271 1.24275668]
230000,[1.17204173 0.74789315],[1.12515837 0.80805873],[1.07234468 0.86094576],[1.04485353 0.90007376],[0.99443444 0.95041413],[0.97643174 0.96660866],[0.92782105 1.01656889],[0.88142053 1.04623113],[0.85273778 1.09041929],[0.81342257 1.12601419],[0.78571849 1.17196086],[0.75677562 1.20298668],[0.72877266 1.24275623]
