10000,[1.17204173 0.74789315],[1.1748743  0.72152522],[1.20713777 0.68304295],[1.2443729  0.63935429],[1.27988665 0.5971427 ],[1.31467366 0.55561848],[1.34897857 0.51446614],[1.36860562 0.48128081],[1.37880955 0.4538991 ],[1.38418532 0.43008775],[1.38573532 0.40946168],[1.38421173 0.39170205],[1.38023049 0.3765147 ]
20000,[1.17204173 0.74789315],[1.17548415 0.71889802],[1.2298531  0.65738709],[1.27912734 0.60317947],[1.32685811 0.55175885],[1.37647599 0.50193407],[1.42360284 0.45330678],[1.44130577 0.41833333],[1.44880146 0.38949692],[1.44923003 0.36572286],[1.44462195 0.34622761],[1.43650734 0.33032221],[1.42606946 0.31739179]
30000,[1.17204173 0.74789315],[1.17604566 0.71782087],[1.23134104 0.65455746],[1.2807795  0.59979185],[1.32879188 0.54780817],[1.37889089 0.49754214],[1.42591962 0.44873334],[1.44311632 0.4138451 ],[1.45012802 0.38514664],[1.45004843 0.36157988],[1.44495904 0.34232729],[1.43642125 0.32667345],[1.42563324 0.31398538]
40000,[1.17204173 0.74789315],[1.17612269 0.7176689 ],[1.23150827 0.65427537],[1.28093826 0.59943991],[1.32896365 0.54737061],[1.37911994 0.49705222],[1.4261745  0.44820714],[1.44332576 0.4133237 ],[1.45027872 0.3846442 ],[1.45013596 0.36110577],[1.44498698 0.34188574],[1.43639758 0.32626495],[1.42556776 0.31360812]
50000,[1.17204173 0.74789315],[1.17613463 0.71764598],[1.23152981 0.65423237],[1.28096565 0.59938604],[1.32899275 0.54730471],[1.37915713 0.49697919],[1.42621162 0.44813087],[1.44335428 0.41324958],[1.4502979  0.38457381],[1.45014566 0.36104025],[1.44498804 0.3418255 ],[1.43639137 0.3262099 ],[1.42555582 0.31355788]
60000,[1.17204173 0.74789315],[1.17613653 0.71764332],[1.23153298 0.6542264 ],[1.28096872 0.59937872],[1.32899652 0.54729627],[1.37916181 0.49696991],[1.42621585 0.44812141],[1.44335727 0.41324054],[1.45029973 0.38456531],[1.45014634 0.36103239],[1.44498773 0.34181831],[1.43639022 0.32620339],[1.42555403 0.31355197]
70000,[1.17204173 0.74789315],[1.17613672 0.71764304],[1.23153327 0.65422582],[1.28096902 0.59937803],[1.32899687 0.54729547],[1.37916224 0.49696904],[1.42621628 0.4481205 ],[1.44335758 0.41323967],[1.4502999  0.38456449],[1.45014641 0.36103164],[1.44498767 0.34181764],[1.43639009 0.32620278],[1.42555383 0.31355143]
80000,[1.17204173 0.74789315],[1.17613676 0.717643  ],[1.23153332 0.65422575],[1.28096905 0.59937794],[1.32899689 0.54729534],[1.37916226 0.4969689 ],[1.42621629 0.44812035],[1.44335761 0.41323951],[1.45029993 0.38456434],[1.45014639 0.36103151],[1.44498765 0.34181752],[1.43639007 0.32620267],[1.42555384 0.31355131]
90000,[1.17204173 0.74789315],[1.17613678 0.71764298],[1.23153334 0.6542257 ],[1.28096908 0.59937789],[1.32899692 0.54729529],[1.3791623  0.49696885],[1.42621634 0.44812029],[1.44335761 0.41323947],[1.4502999  0.38456431],[1.45014637 0.36103148],[1.44498763 0.34181749],[1.43639004 0.32620265],[1.42555379 0.3135513 ]
100000,[1.17204173 0.74789315],[1.17613677 0.71764298],[1.23153333 0.65422572],[1.28096907 0.59937791],[1.3289969  0.54729531],[1.37916228 0.49696887],[1.42621634 0.44812031],[1.44335762 0.41323948],[1.45029992 0.38456432],[1.4501464  0.36103148],[1.44498766 0.3418175 ],[1.43639007 0.32620265],[1.42555381 0.3135513 ]
110000,[1.17204173 0.74789315],[1.17613678 0.71764298],[1.23153334 0.65422571],[1.28096908 0.59937791],[1.32899691 0.5472953 ],[1.37916229 0.49696886],[1.42621632 0.44812031],[1.4433576  0.41323949],[1.45029992 0.38456432],[1.45014639 0.36103148],[1.44498765 0.3418175 ],[1.43639006 0.32620265],[1.4255538 0.3135513]
