10000,[1.17204173 0.74789315],[1.14015781 0.79506468],[1.10541009 0.835018  ],[1.06673408 0.87446667],[1.0277723  0.91261302],[0.98895516 0.95010117],[0.9582273  0.98317244],[0.93900864 1.01078031],[0.91862966 1.03911612],[0.89541894 1.06893561],[0.87160789 1.09907136],[0.84590799 1.12999498],[0.81955819 1.16749132]
20000,[1.17204173 0.74789315],[1.11716857 0.80508197],[1.05667829 0.78209629],[1.0116092  0.78138486],[0.97704862 0.79457569],[0.9470717  0.81520068],[0.91787018 0.84080049],[0.88987205 0.86666453],[0.86337064 0.89250536],[0.83718703 0.91880697],[0.8105965  0.94590995],[0.78354289 0.97346995],[0.75473492 1.00303127]
30000,[1.17204173 0.74789315],[1.09857997 0.80121728],[1.02270009 0.7739829 ],[0.96444517 0.7681298 ],[0.92450271 0.78340464],[0.8925712  0.80829759],[0.86302161 0.83513493],[0.83551483 0.86081149],[0.80864421 0.88703491],[0.78157021 0.91419867],[0.75519006 0.94077823],[0.72813287 0.96876207],[0.69869253 0.99879658]
40000,[1.17204173 0.74789315],[1.09581881 0.79446592],[1.02594653 0.76928513],[0.96836107 0.7635968 ],[0.92839677 0.77913917],[0.89562216 0.80366213],[0.86697537 0.82958889],[0.83996978 0.85480365],[0.81319248 0.88096106],[0.78587755 0.90846108],[0.75956828 0.93532351],[0.73219477 0.96400353],[0.70339459 0.99348044]
50000,[1.17204173 0.74789315],[1.09587941 0.79424645],[1.02556664 0.76890914],[0.96832754 0.76347101],[0.92839536 0.77912318],[0.89569682 0.80364488],[0.86637725 0.83018277],[0.83913768 0.85561767],[0.81218122 0.88209595],[0.78544744 0.90913807],[0.7590382  0.93618989],[0.73170199 0.96469525],[0.70271746 0.99434639]
60000,[1.17204173 0.74789315],[1.09588112 0.79424452],[1.02556256 0.76890316],[0.96832572 0.76346447],[0.92839451 0.7791179 ],[0.89565581 0.80366587],[0.86639162 0.83028305],[0.83924784 0.85560849],[0.81230022 0.88210847],[0.78556303 0.90915804],[0.75918926 0.93620378],[0.73186061 0.96469638],[0.70300567 0.99408022]
70000,[1.17204173 0.74789315],[1.09588132 0.79424435],[1.02556225 0.76890268],[0.96832562 0.76346394],[0.92839453 0.77911751],[0.89561637 0.803698  ],[0.86693218 0.82973977],[0.83992163 0.85498394],[0.81312999 0.8812193 ],[0.78630937 0.90828172],[0.759886   0.93541318],[0.73226561 0.96437396],[0.70330186 0.99386413]
80000,[1.17204173 0.74789315],[1.09588136 0.79424431],[1.02556223 0.76890261],[0.96832562 0.76346387],[0.92839454 0.77911744],[0.89561638 0.80369794],[0.86693221 0.82973973],[0.83992167 0.85498392],[0.81313002 0.88121924],[0.78630939 0.90828168],[0.75988603 0.93541313],[0.73226565 0.9643739 ],[0.70330191 0.99386406]
90000,[1.17204173 0.74789315],[1.09588133 0.79424434],[1.02556217 0.76890262],[0.96832558 0.76346389],[0.92839451 0.77911746],[0.89561634 0.80369798],[0.86693218 0.8297398 ],[0.83992163 0.85498398],[0.81313    0.88121925],[0.78630936 0.90828167],[0.759886   0.93541312],[0.73226563 0.96437388],[0.70330191 0.99386403]
100000,[1.17204173 0.74789315],[1.09588137 0.79424432],[1.02556221 0.76890263],[0.96832562 0.7634639 ],[0.92839454 0.77911747],[0.89561638 0.80369798],[0.86693222 0.82973977],[0.83992166 0.85498395],[0.81313004 0.88121922],[0.7863094  0.90828166],[0.75988605 0.9354131 ],[0.73226568 0.96437386],[0.70330194 0.99386402]
110000,[1.17204173 0.74789315],[1.09588136 0.79424432],[1.0255622 0.7689026],[0.96832562 0.76346389],[0.92839454 0.77911746],[0.89561638 0.80369797],[0.86693222 0.82973978],[0.83992167 0.85498397],[0.81313003 0.88121922],[0.7863094  0.90828166],[0.75988604 0.93541309],[0.73226569 0.96437386],[0.70330194 0.99386401]
120000,[1.17204173 0.74789315],[1.09588134 0.79424434],[1.02556218 0.76890262],[0.9683256  0.76346388],[0.92839453 0.77911748],[0.89561636 0.80369798],[0.8669322  0.82973978],[0.83992165 0.85498396],[0.81313001 0.88121925],[0.78630939 0.90828168],[0.75988604 0.93541311],[0.73226566 0.96437386],[0.70330191 0.99386403]
130000,[1.17204173 0.74789315],[1.09588135 0.79424431],[1.0255622  0.76890261],[0.96832561 0.76346387],[0.92839454 0.77911745],[0.89561638 0.80369796],[0.86693222 0.82973978],[0.83992166 0.85498397],[0.81313002 0.88121923],[0.7863094  0.90828168],[0.75988604 0.93541314],[0.73226565 0.96437389],[0.70330193 0.99386404]
140000,[1.17204173 0.74789315],[1.09588137 0.79424432],[1.0255622  0.76890258],[0.96832561 0.76346385],[0.92839454 0.77911744],[0.89561637 0.80369796],[0.86693221 0.82973977],[0.83992167 0.85498397],[0.81313004 0.88121923],[0.78630941 0.90828167],[0.75988606 0.93541312],[0.73226568 0.96437387],[0.70330191 0.99386403]
150000,[1.17204173 0.74789315],[1.09588137 0.79424432],[1.02556221 0.76890259],[0.96832562 0.76346386],[0.92839454 0.77911746],[0.89561638 0.80369797],[0.86693222 0.82973977],[0.83992167 0.85498396],[0.81313003 0.88121924],[0.7863094  0.90828168],[0.75988606 0.93541312],[0.73226568 0.96437388],[0.70330195 0.99386403]
160000,[1.17204173 0.74789315],[1.09588136 0.79424432],[1.0255622  0.76890259],[0.96832561 0.76346386],[0.92839454 0.77911745],[0.89561638 0.80369796],[0.86693222 0.82973978],[0.83992166 0.85498397],[0.81313004 0.88121923],[0.78630939 0.90828165],[0.75988603 0.93541309],[0.73226567 0.96437386],[0.70330194 0.99386401]
170000,[1.17204173 0.74789315],[1.09588136 0.79424432],[1.0255622  0.76890259],[0.96832561 0.76346386],[0.92839454 0.77911745],[0.89561638 0.80369796],[0.86693222 0.82973978],[0.83992167 0.85498397],[0.81313005 0.88121923],[0.78630941 0.90828167],[0.75988606 0.93541312],[0.73226569 0.96437388],[0.70330195 0.99386403]
