10000,[1.17204173 0.74789315],[1.12071087 0.71865095],[1.07542083 0.67268623],[1.03071438 0.62569872],[0.98606494 0.57935507],[0.94155023 0.5335238 ],[0.89970154 0.5011031 ],[0.86907251 0.47617743],[0.84752167 0.44456045],[0.81810309 0.39191938],[0.77479299 0.3469682 ],[0.73147475 0.30253289],[0.68843388 0.25843117]
20000,[1.17204173 0.74789315],[1.12432189 0.71558285],[1.07531534 0.66806845],[1.02589066 0.61856705],[0.97635996 0.56887016],[0.92681383 0.51917311],[0.88860116 0.48466276],[0.86908699 0.45858847],[0.86327202 0.42214034],[0.8273174  0.37884642],[0.77744945 0.3655443 ],[0.72815152 0.36203884],[0.6818852  0.36562706]
30000,[1.17204173 0.74789315],[1.12436099 0.71532521],[1.07509752 0.66763063],[1.02535935 0.617934  ],[0.97549001 0.56801422],[0.92558133 0.5180706 ],[0.8866464  0.48385547],[0.8672572  0.45778156],[0.86267586 0.42313722],[0.82901171 0.37921018],[0.77945723 0.36845201],[0.73040398 0.36673281],[0.6844468  0.37159794]
40000,[1.17204173 0.74789315],[1.12436727 0.71530201],[1.07508241 0.66759192],[1.02531761 0.61787805],[0.97541896 0.56793796],[0.92547812 0.51797125],[0.88654288 0.48367813],[0.867093 0.458068],[0.86260322 0.42435662],[0.83014092 0.3796943 ],[0.7806798  0.36894193],[0.73160362 0.36719037],[0.68558431 0.37201695]
50000,[1.17204173 0.74789315],[1.12436782 0.71530017],[1.07508114 0.66758891],[1.02531406 0.6178737 ],[0.97541285 0.56793199],[0.92546915 0.51796336],[0.88653334 0.48366307],[0.86704108 0.45818446],[0.86253635 0.42453038],[0.83036124 0.37973936],[0.7809505  0.36898936],[0.73186867 0.36723109],[0.68583456 0.37204439]
60000,[1.17204173 0.74789315],[1.12436786 0.71530003],[1.07508104 0.66758868],[1.02531378 0.61787336],[0.97541236 0.56793152],[0.92546841 0.51796272],[0.88653295 0.48366133],[0.86704069 0.45818426],[0.8625369  0.42452924],[0.83036199 0.37973887],[0.7809514  0.36899222],[0.73186992 0.36723623],[0.68583626 0.37205119]
70000,[1.17204173 0.74789315],[1.12436787 0.71530002],[1.07508104 0.66758866],[1.02531377 0.61787333],[0.97541234 0.56793148],[0.92546837 0.51796268],[0.88653289 0.48366122],[0.86704071 0.45818402],[0.862537   0.42452889],[0.83036207 0.37973873],[0.78095148 0.36899248],[0.73187003 0.36723673],[0.68583641 0.37205182]
80000,[1.17204173 0.74789315],[1.12436787 0.71530001],[1.07508103 0.66758866],[1.02531376 0.61787333],[0.97541232 0.56793147],[0.92546835 0.51796266],[0.88653287 0.48366121],[0.86704071 0.45818397],[0.862537   0.42452883],[0.83036207 0.37973872],[0.78095149 0.36899252],[0.73187004 0.36723681],[0.68583642 0.37205194]
90000,[1.17204173 0.74789315],[1.12436787 0.71530001],[1.07508103 0.66758866],[1.02531376 0.61787333],[0.97541232 0.56793147],[0.92546835 0.51796266],[0.88653287 0.48366121],[0.86704071 0.45818397],[0.862537   0.42452884],[0.83036208 0.37973871],[0.7809515  0.36899252],[0.73187006 0.36723682],[0.68583645 0.37205196]
100000,[1.17204173 0.74789315],[1.12436787 0.71530001],[1.07508104 0.66758866],[1.02531376 0.61787333],[0.97541232 0.56793147],[0.92546835 0.51796266],[0.88653287 0.48366121],[0.86704071 0.45818397],[0.862537   0.42452884],[0.83036208 0.37973871],[0.7809515  0.36899252],[0.73187006 0.3672368 ],[0.68583645 0.37205193]
110000,[1.17204173 0.74789315],[1.12436787 0.71530001],[1.07508103 0.66758866],[1.02531376 0.61787333],[0.97541232 0.56793147],[0.92546835 0.51796266],[0.88653287 0.48366121],[0.86704071 0.45818398],[0.862537   0.42452884],[0.83036208 0.37973871],[0.7809515  0.36899251],[0.73187005 0.36723681],[0.68583644 0.37205194]
