10000,[1.17204173 0.74789315],[1.12739656 0.6968781 ],[1.0770222  0.65171694],[1.03339577 0.6004406 ],[0.9834034  0.55528712],[0.93862562 0.50513988],[0.88934908 0.46098923],[0.84545098 0.41152745],[0.79722594 0.36842748],[0.75546982 0.31993024],[0.70855902 0.2783129 ],[0.66851067 0.23189907],[0.62649651 0.19130038]
20000,[1.17204173 0.74789315],[1.12585409 0.69584268],[1.07380412 0.6486047 ],[1.02682431 0.59640202],[0.97481322 0.54835968],[0.92667053 0.49672286],[0.87506438 0.44856085],[0.8267747  0.39719696],[0.77546129 0.34893761],[0.72965369 0.29978046],[0.68127306 0.25012441],[0.63450325 0.20009117],[0.59500862 0.16860818]
30000,[1.17204173 0.74789315],[1.12582872 0.69582571],[1.07376072 0.64855256],[1.02671548 0.59632759],[0.97467    0.54821843],[0.92643874 0.49653564],[0.87476499 0.44824582],[0.82631441 0.39679393],[0.77487973 0.34830278],[0.72884171 0.29909208],[0.68023419 0.24904733],[0.63448955 0.19954775],[0.59491287 0.16805306]
40000,[1.17204173 0.74789315],[1.12582822 0.69582542],[1.07375995 0.64855153],[1.02671304 0.59632615],[0.97466677 0.54821512],[0.92643274 0.49653102],[0.87475678 0.44823662],[0.82629959 0.39678119],[0.77485926 0.34827891],[0.72880605 0.29906068],[0.68018059 0.24899219],[0.63450038 0.19954136],[0.59490175 0.16803903]
50000,[1.17204173 0.74789315],[1.12582821 0.69582541],[1.07375993 0.6485515 ],[1.02671299 0.59632612],[0.97466669 0.54821505],[0.92643258 0.49653091],[0.87475655 0.44823636],[0.82629909 0.39678078],[0.77485851 0.34827799],[0.72880439 0.29905911],[0.68017777 0.24898916],[0.63449746 0.19953924],[0.59489534 0.16803282]
60000,[1.17204173 0.74789315],[1.12582821 0.69582541],[1.07375993 0.6485515 ],[1.02671299 0.59632612],[0.9746667  0.54821505],[0.92643257 0.49653091],[0.87475655 0.44823636],[0.82629907 0.39678076],[0.77485849 0.34827796],[0.72880428 0.299059  ],[0.68017762 0.24898898],[0.63449722 0.19953909],[0.59489481 0.16803222]
70000,[1.17204173 0.74789315],[1.12582821 0.69582541],[1.07375993 0.6485515 ],[1.02671299 0.59632612],[0.9746667  0.54821505],[0.92643257 0.49653091],[0.87475655 0.44823636],[0.82629907 0.39678076],[0.77485849 0.34827797],[0.72880428 0.299059  ],[0.68017761 0.24898897],[0.63449722 0.19953906],[0.59489476 0.16803216]
80000,[1.17204173 0.74789315],[1.12582821 0.69582541],[1.07375993 0.6485515 ],[1.02671299 0.59632612],[0.9746667  0.54821505],[0.92643257 0.49653091],[0.87475655 0.44823636],[0.82629907 0.39678076],[0.77485849 0.34827797],[0.72880428 0.299059  ],[0.68017761 0.24898897],[0.63449722 0.19953906],[0.59489477 0.1680322 ]
90000,[1.17204173 0.74789315],[1.12582821 0.69582541],[1.07375993 0.6485515 ],[1.02671299 0.59632612],[0.9746667  0.54821505],[0.92643257 0.49653091],[0.87475655 0.44823636],[0.82629907 0.39678076],[0.77485849 0.34827797],[0.72880428 0.299059  ],[0.68017761 0.24898897],[0.63449722 0.19953906],[0.59489478 0.1680322 ]
100000,[1.17204173 0.74789315],[1.12582821 0.69582541],[1.07375993 0.6485515 ],[1.02671299 0.59632612],[0.9746667  0.54821505],[0.92643257 0.49653091],[0.87475655 0.44823636],[0.82629907 0.39678076],[0.77485849 0.34827797],[0.72880428 0.299059  ],[0.68017761 0.24898897],[0.63449722 0.19953906],[0.59489478 0.1680322 ]
110000,[1.17204173 0.74789315],[1.12582821 0.69582541],[1.07375993 0.6485515 ],[1.02671299 0.59632612],[0.9746667  0.54821505],[0.92643257 0.49653091],[0.87475655 0.44823636],[0.82629907 0.39678076],[0.77485849 0.34827797],[0.72880428 0.299059  ],[0.68017761 0.24898897],[0.63449722 0.19953906],[0.59489478 0.1680322 ]
