10000,[1.17204173 0.74789315],[1.22180218 0.78456889],[1.25748179 0.79861088],[1.28634522 0.83008302],[1.32189832 0.8645425 ],[1.36147477 0.89784232],[1.37941473 0.91391119],[1.38406535 0.91915048],[1.38518952 0.92151703],[1.38408517 0.92202326],[1.38152984 0.9212916 ],[1.3780166  0.91972616],[1.37388049 0.91760358]
20000,[1.17204173 0.74789315],[1.22578236 0.78777197],[1.27278175 0.83424503],[1.32531138 0.88249824],[1.35072729 0.9157591 ],[1.37051575 0.94117726],[1.33789632 0.92774249],[1.35362804 0.95106844],[1.32679319 0.93488431],[1.33518518 0.9535491 ],[1.31607102 0.93803667],[1.31763821 0.9522187 ],[1.30577305 0.93857741]
30000,[1.17204173 0.74789315],[1.22562546 0.78801533],[1.27319927 0.83520532],[1.3255327 0.8839472],[1.34956565 0.91615486],[1.36570077 0.93908441],[1.33549912 0.92672891],[1.34872938 0.9481911 ],[1.32349272 0.93284572],[1.32984375 0.94977712],[1.31187335 0.93512411],[1.31183485 0.94767824],[1.30069184 0.93491121]
40000,[1.17204173 0.74789315],[1.2256036 0.7880505],[1.27323547 0.83531635],[1.32554187 0.88411289],[1.34945013 0.91621547],[1.36522878 0.93890301],[1.33527757 0.92665925],[1.34826522 0.94794113],[1.32319499 0.93268467],[1.32935299 0.94945238],[1.3115011  0.93488843],[1.3113153  0.94729298],[1.3002481  0.93461395]
50000,[1.17204173 0.74789315],[1.22560008 0.78805569],[1.27323911 0.83533065],[1.32554156 0.88413396],[1.34943732 0.91622485],[1.36517417 0.93888425],[1.33525324 0.92665378],[1.34821371 0.94791574],[1.323163   0.93266928],[1.32930019 0.9494197 ],[1.311462   0.93486532],[1.31126073 0.94725463],[1.30020253 0.93458484]
60000,[1.17204173 0.74789315],[1.22559966 0.78805624],[1.27323944 0.83533215],[1.32554142 0.88413612],[1.34943632 0.91622604],[1.36516877 0.93888244],[1.33525108 0.92665342],[1.34820883 0.94791337],[1.32316014 0.93266792],[1.32929536 0.94941671],[1.31145855 0.93486326],[1.31125589 0.94725121],[1.30019858 0.93458225]
70000,[1.17204173 0.74789315],[1.22559961 0.78805631],[1.27323948 0.8353323 ],[1.32554142 0.88413634],[1.3494362  0.91622615],[1.36516838 0.93888236],[1.33525081 0.92665335],[1.34820837 0.94791314],[1.3231599  0.93266782],[1.32929493 0.94941644],[1.31145827 0.93486308],[1.31125544 0.94725088],[1.30019828 0.93458205]
80000,[1.17204173 0.74789315],[1.2255996  0.78805631],[1.27323949 0.83533231],[1.32554141 0.88413637],[1.34943622 0.91622617],[1.36516832 0.93888234],[1.3352508  0.92665336],[1.34820843 0.9479132 ],[1.32315985 0.9326678 ],[1.32929492 0.94941646],[1.31145824 0.93486308],[1.31125543 0.94725089],[1.30019823 0.93458203]
90000,[1.17204173 0.74789315],[1.22559959 0.78805631],[1.27323949 0.83533233],[1.32554141 0.88413637],[1.34943617 0.91622615],[1.36516825 0.93888231],[1.33525077 0.92665335],[1.34820836 0.94791316],[1.32315981 0.93266778],[1.32929487 0.94941643],[1.3114582  0.93486307],[1.31125538 0.94725087],[1.30019819 0.93458202]
100000,[1.17204173 0.74789315],[1.22559959 0.7880563 ],[1.27323949 0.83533233],[1.32554141 0.88413638],[1.34943619 0.91622617],[1.36516828 0.93888233],[1.33525079 0.92665336],[1.34820838 0.94791317],[1.32315983 0.93266779],[1.32929489 0.94941644],[1.31145821 0.93486308],[1.3112554  0.94725087],[1.30019821 0.93458202]
110000,[1.17204173 0.74789315],[1.22559959 0.78805631],[1.27323948 0.83533233],[1.32554141 0.88413638],[1.34943619 0.91622617],[1.36516825 0.93888231],[1.33525079 0.92665336],[1.34820836 0.94791316],[1.32315982 0.93266779],[1.32929487 0.94941643],[1.3114582  0.93486307],[1.31125538 0.94725086],[1.3001982  0.93458202]
120000,[1.17204173 0.74789315],[1.22559959 0.78805631],[1.27323949 0.83533233],[1.3255414  0.88413638],[1.34943623 0.9162262 ],[1.36516824 0.9388823 ],[1.3352508  0.92665337],[1.34820835 0.94791315],[1.32315983 0.93266779],[1.32929487 0.94941643],[1.31145821 0.93486307],[1.31125538 0.94725086],[1.3001982  0.93458202]
130000,[1.17204173 0.74789315],[1.22559959 0.78805631],[1.27323948 0.83533233],[1.32554141 0.88413638],[1.34943617 0.91622615],[1.36516824 0.9388823 ],[1.33525077 0.92665335],[1.34820835 0.94791315],[1.32315981 0.93266778],[1.32929486 0.94941642],[1.31145819 0.93486306],[1.31125537 0.94725086],[1.30019819 0.93458201]
140000,[1.17204173 0.74789315],[1.22559959 0.78805631],[1.27323949 0.83533233],[1.32554141 0.88413638],[1.34943618 0.91622616],[1.36516825 0.93888231],[1.33525078 0.92665335],[1.34820835 0.94791315],[1.32315982 0.93266778],[1.32929487 0.94941642],[1.3114582  0.93486306],[1.31125538 0.94725086],[1.3001982  0.93458201]
